split,scope,value,count,share_of_split
train,mixture_component,anti_regression_guard,48,0.2857
train,mixture_component,relabeled_simple_local_repair,72,0.4286
train,mixture_component,relief_supervision_pack,48,0.2857
train,bucket,anomaly_plus_normal_side_event,72,0.4286
train,bucket,anti_truncation_guard,12,0.0714
train,bucket,directional_asymmetry_stable,16,0.0952
train,bucket,existing_simple_local_buffer,10,0.0595
train,bucket,hard_negative_no_anchor,10,0.0595
train,bucket,multi_edge_relief,16,0.0952
train,bucket,relief_normal_short_range,16,0.0952
train,bucket,relief_normal_single_edge,16,0.0952
train,scene_type,directional_asymmetry,38,0.2262
train,scene_type,simple_local,130,0.7738
train,anchor_style,NO_ANCHOR,10,0.0595
train,anchor_style,explicit_anchor,158,0.9405
train,severity,mild,33,0.1964
train,severity,moderate,76,0.4524
train,severity,none,10,0.0595
train,severity,severe,49,0.2917
train,guard_focus,anti_truncation_guard,12,0.0714
train,guard_focus,directional_asymmetry_stable,16,0.0952
train,guard_focus,existing_simple_local_buffer,10,0.0595
train,guard_focus,hard_negative_no_anchor,10,0.0595
train,mixture_component_bucket,anti_regression_guard::anti_truncation_guard,12,0.0714
train,mixture_component_bucket,anti_regression_guard::directional_asymmetry_stable,16,0.0952
train,mixture_component_bucket,anti_regression_guard::existing_simple_local_buffer,10,0.0595
train,mixture_component_bucket,anti_regression_guard::hard_negative_no_anchor,10,0.0595
train,mixture_component_bucket,relabeled_simple_local_repair::anomaly_plus_normal_side_event,72,0.4286
train,mixture_component_bucket,relief_supervision_pack::multi_edge_relief,16,0.0952
train,mixture_component_bucket,relief_supervision_pack::relief_normal_short_range,16,0.0952
train,mixture_component_bucket,relief_supervision_pack::relief_normal_single_edge,16,0.0952
eval,mixture_component,anti_regression_guard,20,0.2778
eval,mixture_component,relabeled_simple_local_repair,28,0.3889
eval,mixture_component,relief_supervision_pack,24,0.3333
eval,bucket,anomaly_plus_normal_side_event,28,0.3889
eval,bucket,anti_truncation_guard,4,0.0556
eval,bucket,directional_asymmetry_stable,8,0.1111
eval,bucket,existing_simple_local_buffer,4,0.0556
eval,bucket,hard_negative_no_anchor,4,0.0556
eval,bucket,multi_edge_relief,8,0.1111
eval,bucket,relief_normal_short_range,8,0.1111
eval,bucket,relief_normal_single_edge,8,0.1111
eval,scene_type,directional_asymmetry,14,0.1944
eval,scene_type,simple_local,58,0.8056
eval,anchor_style,NO_ANCHOR,4,0.0556
eval,anchor_style,explicit_anchor,68,0.9444
eval,severity,mild,17,0.2361
eval,severity,moderate,30,0.4167
eval,severity,none,4,0.0556
eval,severity,severe,21,0.2917
eval,guard_focus,anti_truncation_guard,4,0.0556
eval,guard_focus,directional_asymmetry_stable,8,0.1111
eval,guard_focus,existing_simple_local_buffer,4,0.0556
eval,guard_focus,hard_negative_no_anchor,4,0.0556
eval,mixture_component_bucket,anti_regression_guard::anti_truncation_guard,4,0.0556
eval,mixture_component_bucket,anti_regression_guard::directional_asymmetry_stable,8,0.1111
eval,mixture_component_bucket,anti_regression_guard::existing_simple_local_buffer,4,0.0556
eval,mixture_component_bucket,anti_regression_guard::hard_negative_no_anchor,4,0.0556
eval,mixture_component_bucket,relabeled_simple_local_repair::anomaly_plus_normal_side_event,28,0.3889
eval,mixture_component_bucket,relief_supervision_pack::multi_edge_relief,8,0.1111
eval,mixture_component_bucket,relief_supervision_pack::relief_normal_short_range,8,0.1111
eval,mixture_component_bucket,relief_supervision_pack::relief_normal_single_edge,8,0.1111
