split,scope,value,count,share_of_split
train,mixture_component,guard_minimal,16,0.1046
train,mixture_component,multi_edge_relief_tail,7,0.0458
train,mixture_component,relabeled_anomaly_plus_normal_repair,16,0.1046
train,mixture_component,short_range_relief_support,23,0.1503
train,mixture_component,singleedge_relief_core,91,0.5948
train,source_type,guard_anti_truncation_canary,4,0.0261
train,source_type,guard_directional_stable,8,0.0523
train,source_type,guard_hard_negative_no_anchor,4,0.0261
train,source_type,multi_edge_relief_tail,7,0.0458
train,source_type,relabel_anomaly_plus_normal,16,0.1046
train,source_type,short_range_relief_base,16,0.1046
train,source_type,short_range_relief_repeat,7,0.0458
train,source_type,singleedge_core_base,75,0.4902
train,source_type,singleedge_core_phrase_boost,16,0.1046
train,bucket,anomaly_plus_normal_side_event,16,0.1046
train,bucket,anti_truncation_canary,4,0.0261
train,bucket,directional_asymmetry_stable,8,0.0523
train,bucket,hard_negative_no_anchor,4,0.0261
train,bucket,multi_edge_relief,7,0.0458
train,bucket,relief_normal_short_range,23,0.1503
train,bucket,relief_normal_single_edge,91,0.5948
train,edge_profile,mixed_or_other,32,0.2092
train,edge_profile,multi_edge,7,0.0458
train,edge_profile,short_range,23,0.1503
train,edge_profile,single_edge,91,0.5948
train,risk_flag,high,7,0.0458
train,risk_flag,low,130,0.8497
train,risk_flag,medium,16,0.1046
train,phrase_variant,__non_singleedge__,62,0.4052
train,phrase_variant,保持正常通行,6,0.0392
train,phrase_variant,局部恢复正常,6,0.0392
train,phrase_variant,恢复正常,6,0.0392
train,phrase_variant,某段向某方向正常,6,0.0392
train,phrase_variant,正常通行,6,0.0392
train,phrase_variant,畅通,12,0.0784
train,phrase_variant,畅通无阻,10,0.0654
train,phrase_variant,通行正常,6,0.0392
train,phrase_variant,顺畅,33,0.2157
eval,mixture_component,guard_minimal,7,0.1167
eval,mixture_component,multi_edge_relief_tail,3,0.05
eval,mixture_component,relabeled_anomaly_plus_normal_repair,6,0.1
eval,mixture_component,short_range_relief_support,10,0.1667
eval,mixture_component,singleedge_relief_core,34,0.5667
eval,source_type,guard_anti_truncation_canary,2,0.0333
eval,source_type,guard_directional_stable,4,0.0667
eval,source_type,guard_hard_negative_no_anchor,1,0.0167
eval,source_type,multi_edge_relief_tail,3,0.05
eval,source_type,relabel_anomaly_plus_normal,6,0.1
eval,source_type,short_range_relief_base,8,0.1333
eval,source_type,short_range_relief_repeat,2,0.0333
eval,source_type,singleedge_core_base,24,0.4
eval,source_type,singleedge_core_phrase_boost,10,0.1667
eval,bucket,anomaly_plus_normal_side_event,6,0.1
eval,bucket,anti_truncation_canary,2,0.0333
eval,bucket,directional_asymmetry_stable,4,0.0667
eval,bucket,hard_negative_no_anchor,1,0.0167
eval,bucket,multi_edge_relief,3,0.05
eval,bucket,relief_normal_short_range,10,0.1667
eval,bucket,relief_normal_single_edge,34,0.5667
eval,edge_profile,mixed_or_other,13,0.2167
eval,edge_profile,multi_edge,3,0.05
eval,edge_profile,short_range,10,0.1667
eval,edge_profile,single_edge,34,0.5667
eval,risk_flag,high,3,0.05
eval,risk_flag,low,50,0.8333
eval,risk_flag,medium,7,0.1167
eval,phrase_variant,__non_singleedge__,26,0.4333
eval,phrase_variant,畅通,10,0.1667
eval,phrase_variant,畅通无阻,10,0.1667
eval,phrase_variant,顺畅,14,0.2333
