split,scope,value,count,share_of_split
train,mixture_component,hard_negative_guard,25,0.25
train,mixture_component,micro_patch_positive_core,65,0.65
train,mixture_component,minimal_stability_canary,10,0.1
train,phrase_variant,anti_truncation_canary,5,0.05
train,phrase_variant,directional_asymmetry_canary,5,0.05
train,phrase_variant,交通基本正常,12,0.12
train,phrase_variant,保持正常通行,13,0.13
train,phrase_variant,畅通无阻,24,0.24
train,phrase_variant,车流顺畅,24,0.24
train,phrase_variant,顺畅,17,0.17
train,structure_variant,planner_long,10,0.1
train,structure_variant,prefixed_short,42,0.42
train,structure_variant,short_plain,48,0.48
train,source_type,anti_truncation_canary,5,0.05
train,source_type,directional_asymmetry_canary,5,0.05
train,source_type,orig_train_hard_negative_guard,25,0.25
train,source_type,orig_train_policy_a_relabel,48,0.48
train,source_type,stage4c_core_targeted,17,0.17
train,is_hard_negative,False,75,0.75
train,is_hard_negative,True,25,0.25
train,canary_kind,anti_truncation,5,0.05
train,canary_kind,directional_asymmetry,5,0.05
eval,mixture_component,hard_negative_guard,8,0.2667
eval,mixture_component,micro_patch_positive_core,18,0.6
eval,mixture_component,minimal_stability_canary,4,0.1333
eval,phrase_variant,anti_truncation_canary,2,0.0667
eval,phrase_variant,directional_asymmetry_canary,2,0.0667
eval,phrase_variant,交通基本正常,6,0.2
eval,phrase_variant,保持正常通行,2,0.0667
eval,phrase_variant,畅通无阻,10,0.3333
eval,phrase_variant,车流顺畅,8,0.2667
eval,structure_variant,planner_long,4,0.1333
eval,structure_variant,prefixed_short,10,0.3333
eval,structure_variant,short_plain,16,0.5333
eval,source_type,anti_truncation_canary_eval,2,0.0667
eval,source_type,directional_asymmetry_canary_eval,2,0.0667
eval,source_type,remaining_false_positive_seed_eval_only,8,0.2667
eval,source_type,remaining_hard_case_exact_eval_only,18,0.6
eval,is_hard_negative,False,22,0.7333
eval,is_hard_negative,True,8,0.2667
eval,canary_kind,anti_truncation,2,0.0667
eval,canary_kind,directional_asymmetry,2,0.0667
