row_type,signature,road,dir,range,level,type,train_count,heldout_exact_signature_support,heldout_pattern_support,sample_id,train_exact_signature_count,train_exact_rdr_count,train_exact_rdrt_count,train_road_dir_count,train_road_dir_type_count,train_road_count,best_pattern_score,best_train_signature,metric,value
train_signature,农业路|向东|经一路至经三路|畅通,农业路,向东,经一路至经三路,畅通,changed_relief,1.0,0.0,0.0,,,,,,,,,,,
train_signature,农业路|向东|经三路至经六路|畅通,农业路,向东,经三路至经六路,畅通,changed_relief,1.0,0.0,0.0,,,,,,,,,,,
train_signature,农业路|向东|经六路至经八路|正常,农业路,向东,经六路至经八路,正常,normal_anchor,1.0,0.0,1.0,,,,,,,,,,,
train_signature,农业路|向东|经六路至经八路|畅通,农业路,向东,经六路至经八路,畅通,changed_relief,3.0,1.0,1.0,,,,,,,,,,,
train_signature,农业路|向东|花园路至未来路|正常,农业路,向东,花园路至未来路,正常,normal_anchor,1.0,0.0,1.0,,,,,,,,,,,
train_signature,农业路|向东|花园路至未来路|畅通,农业路,向东,花园路至未来路,畅通,changed_relief,3.0,1.0,1.0,,,,,,,,,,,
train_signature,农业路|向西|经三路至经六路|正常,农业路,向西,经三路至经六路,正常,normal_anchor,2.0,0.0,1.0,,,,,,,,,,,
train_signature,农业路|向西|经三路至经六路|畅通,农业路,向西,经三路至经六路,畅通,changed_relief,2.0,1.0,1.0,,,,,,,,,,,
train_signature,农业路|向西|花园路至未来路|正常,农业路,向西,花园路至未来路,正常,normal_anchor,1.0,0.0,2.0,,,,,,,,,,,
train_signature,农业路|向西|花园路至未来路|畅通,农业路,向西,花园路至未来路,畅通,changed_relief,4.0,2.0,2.0,,,,,,,,,,,
train_signature,政七街|向东|经八路至花园路|畅通,政七街,向东,经八路至花园路,畅通,changed_relief,1.0,0.0,0.0,,,,,,,,,,,
train_signature,政七街|向西|经一路至经三路|正常,政七街,向西,经一路至经三路,正常,normal_anchor,2.0,0.0,1.0,,,,,,,,,,,
train_signature,政七街|向西|经一路至经三路|畅通,政七街,向西,经一路至经三路,畅通,changed_relief,2.0,1.0,1.0,,,,,,,,,,,
train_signature,未来路|向北|政七街至黄河路|正常,未来路,向北,政七街至黄河路,正常,normal_anchor,2.0,0.0,1.0,,,,,,,,,,,
train_signature,未来路|向北|政七街至黄河路|畅通,未来路,向北,政七街至黄河路,畅通,changed_relief,2.0,1.0,1.0,,,,,,,,,,,
train_signature,未来路|向南|政七街至黄河路|正常,未来路,向南,政七街至黄河路,正常,normal_anchor,2.0,0.0,1.0,,,,,,,,,,,
train_signature,未来路|向南|政七街至黄河路|畅通,未来路,向南,政七街至黄河路,畅通,changed_relief,2.0,1.0,1.0,,,,,,,,,,,
train_signature,未来路|向南|红专路至政七街|正常,未来路,向南,红专路至政七街,正常,normal_anchor,2.0,0.0,1.0,,,,,,,,,,,
train_signature,未来路|向南|红专路至政七街|畅通,未来路,向南,红专路至政七街,畅通,changed_relief,2.0,1.0,1.0,,,,,,,,,,,
train_signature,红专路|向东|花园路至未来路|畅通,红专路,向东,花园路至未来路,畅通,changed_relief,1.0,0.0,0.0,,,,,,,,,,,
train_signature,红专路|向西|经六路至经八路|畅通,红专路,向西,经六路至经八路,畅通,changed_relief,1.0,0.0,0.0,,,,,,,,,,,
train_signature,红专路|向西|花园路至未来路|正常,红专路,向西,花园路至未来路,正常,normal_anchor,2.0,0.0,1.0,,,,,,,,,,,
train_signature,红专路|向西|花园路至未来路|畅通,红专路,向西,花园路至未来路,畅通,changed_relief,2.0,1.0,1.0,,,,,,,,,,,
train_signature,纬五路|向东|经三路至经六路|正常,纬五路,向东,经三路至经六路,正常,normal_anchor,1.0,0.0,1.0,,,,,,,,,,,
train_signature,纬五路|向东|经三路至经六路|畅通,纬五路,向东,经三路至经六路,畅通,changed_relief,3.0,1.0,1.0,,,,,,,,,,,
train_signature,纬五路|向东|花园路至未来路|正常,纬五路,向东,花园路至未来路,正常,normal_anchor,1.0,0.0,1.0,,,,,,,,,,,
train_signature,纬五路|向东|花园路至未来路|畅通,纬五路,向东,花园路至未来路,畅通,changed_relief,2.0,1.0,1.0,,,,,,,,,,,
train_signature,纬五路|向西|经一路至经三路|畅通,纬五路,向西,经一路至经三路,畅通,changed_relief,1.0,0.0,0.0,,,,,,,,,,,
train_signature,纬五路|向西|经八路至花园路|畅通,纬五路,向西,经八路至花园路,畅通,changed_relief,1.0,0.0,0.0,,,,,,,,,,,
train_signature,经一路|向南|农业路至红专路|正常,经一路,向南,农业路至红专路,正常,normal_anchor,1.0,0.0,1.0,,,,,,,,,,,
