scope,scope_name,count,no_anchor_rate,no_anchor_when_gt_changed_rate,no_anchor_when_gt_target_changed_rate,parse_fail_rate,parse_fail_rate_strict,target_recall,gt_changed_edge_recall,MAE_on_changed_edges,MAE_on_target_edges,dense_weight_mae,parse_confidence,anchor_count,parsed_edge_ratio,signal_edge_ratio,inference_time,gt_changed_sample_rate,gt_target_sample_rate,avg_gt_changed_edge_count,avg_gt_target_edge_count
overall,overall,540,0.1167,0.0611,0.0,0.0,0.0537,97.9,87.8,0.1487,0.0736,0.0103,0.9703,1.4611,0.0301,0.0301,1.392,0.8796,0.8259,3.187,2.8574
split,val_normal,180,0.35,0.1986,0.0,0.0,0.1611,100.0,65.9,0.2725,0.0,0.0056,0.9511,0.7556,0.0107,0.0107,1.0913,0.8111,0.65,1.5333,1.0111
val_normal:scene_type,directional_asymmetry,41,0.0,0.0,0.0,0.0,0.0,100.0,69.5,0.2438,0.0,0.0122,0.9761,1.4634,0.0193,0.0193,1.4148,1.0,1.0,2.561,1.7805
val_normal:scene_type,simple_local,139,0.4532,0.2762,0.0,0.0,0.2086,100.0,63.7,0.2901,0.0,0.0037,0.9437,0.5468,0.0082,0.0082,0.9958,0.7554,0.5468,1.2302,0.7842
val_normal:length_bucket,long,6,0.5,0.25,0.0,0.0,0.1667,100.0,80.0,0.16,0.0,0.0014,0.94,0.5,0.0069,0.0069,0.9755,0.6667,0.5,0.8333,0.6667
val_normal:length_bucket,medium,85,0.2941,0.1549,0.0,0.0,0.1294,100.0,68.8,0.25,0.0,0.0062,0.9555,0.8471,0.0124,0.0124,1.1362,0.8353,0.7059,1.6941,1.1647
val_normal:length_bucket,noisy_long,5,0.6,0.3333,0.0,0.0,0.2,100.0,55.6,0.3556,0.0,0.0067,0.932,0.6,0.0104,0.0104,1.0234,0.6,0.4,1.8,1.0
val_normal:length_bucket,short,84,0.381,0.2353,0.0,0.0,0.1905,100.0,62.7,0.2983,0.0,0.0053,0.9486,0.6905,0.0093,0.0093,1.0581,0.8095,0.619,1.4048,0.881
split,val_special,180,0.0,0.0,0.0,0.0,0.0,98.0,88.3,0.1393,0.0665,0.0106,0.9797,1.7278,0.0383,0.0383,1.4914,0.9611,0.9611,4.0833,3.6778
val_special:scene_type,compound_disaster,37,0.0,0.0,0.0,0.0,0.0,94.3,90.0,0.22,0.1921,0.0148,0.98,2.7297,0.0608,0.0608,1.9655,1.0,1.0,6.4865,6.1892
val_special:scene_type,core_blockage,44,0.0,0.0,0.0,0.0,0.0,100.0,78.8,0.1696,0.0,0.0074,0.98,1.2727,0.0343,0.0343,1.2501,1.0,1.0,4.1818,3.2955
val_special:scene_type,directional_asymmetry,30,0.0,0.0,0.0,0.0,0.0,100.0,74.4,0.2044,0.0,0.0064,0.98,1.5667,0.0233,0.0233,1.4737,1.0,1.0,3.0,2.2333
val_special:scene_type,propagation_range,37,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0106,0.9786,2.027,0.0524,0.0524,1.6077,1.0,1.0,4.8919,4.8919
val_special:scene_type,temporal_switch,32,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0143,0.98,1.0,0.0156,0.0156,1.1571,0.7812,0.7812,1.25,1.25
val_special:length_bucket,long,54,0.0,0.0,0.0,0.0,0.0,99.5,92.0,0.0871,0.0296,0.0127,0.979,1.7407,0.037,0.037,1.4995,0.9815,0.9815,3.7222,3.4444
val_special:length_bucket,medium,70,0.0,0.0,0.0,0.0,0.0,96.7,83.6,0.2025,0.1091,0.0109,0.98,1.5571,0.0354,0.0354,1.4138,0.9571,0.9571,4.0143,3.4714
val_special:length_bucket,noisy_long,45,0.0,0.0,0.0,0.0,0.0,99.5,91.0,0.083,0.0164,0.0077,0.98,1.9556,0.0428,0.0428,1.5954,0.9333,0.9333,4.4444,4.0667
val_special:length_bucket,short,11,0.0,0.0,0.0,0.0,0.0,94.0,88.7,0.2151,0.18,0.0108,0.98,1.8182,0.0445,0.0445,1.5196,1.0,1.0,4.8182,4.5455
split,val_anti_truncation,180,0.0,0.0,0.0,0.0,0.0,97.3,95.8,0.1103,0.0994,0.0147,0.98,1.9,0.0412,0.0412,1.5935,0.8667,0.8667,3.9444,3.8833
val_anti_truncation:scene_type,compound_disaster,50,0.0,0.0,0.0,0.0,0.0,93.9,90.6,0.2447,0.2249,0.0163,0.98,2.74,0.0604,0.0604,1.9678,1.0,1.0,6.4,6.18
val_anti_truncation:scene_type,propagation_range,75,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.98,2.0,0.0481,0.0481,1.6531,1.0,1.0,4.6133,4.6133
val_anti_truncation:scene_type,temporal_switch,55,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0333,0.98,1.0,0.0144,0.0144,1.1718,0.5636,0.5636,0.8,0.8
val_anti_truncation:length_bucket,long,72,0.0,0.0,0.0,0.0,0.0,96.1,94.7,0.1363,0.1268,0.0136,0.98,1.9028,0.0404,0.0404,1.5948,0.8889,0.8889,3.9444,3.8889
val_anti_truncation:length_bucket,medium,14,0.0,0.0,0.0,0.0,0.0,95.1,90.7,0.2349,0.2073,0.0239,0.98,1.7143,0.032,0.032,1.5176,0.7857,0.7857,3.0714,2.9286
val_anti_truncation:length_bucket,noisy_long,94,0.0,0.0,0.0,0.0,0.0,98.4,97.1,0.077,0.0675,0.0142,0.98,1.9255,0.0432,0.0432,1.6037,0.8617,0.8617,4.0745,4.0213
overall:scene_type,compound_disaster,87,0.0,0.0,0.0,0.0,0.0,94.1,90.4,0.2341,0.211,0.0157,0.98,2.7356,0.0606,0.0606,1.9668,1.0,1.0,6.4368,6.1839
overall:scene_type,core_blockage,44,0.0,0.0,0.0,0.0,0.0,100.0,78.8,0.1696,0.0,0.0074,0.98,1.2727,0.0343,0.0343,1.2501,1.0,1.0,4.1818,3.2955
overall:scene_type,directional_asymmetry,71,0.0,0.0,0.0,0.0,0.0,100.0,71.8,0.2256,0.0,0.0097,0.9777,1.507,0.021,0.021,1.4397,1.0,1.0,2.7465,1.9718
overall:scene_type,propagation_range,112,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0035,0.9795,2.0089,0.0495,0.0495,1.6381,1.0,1.0,4.7054,4.7054
overall:scene_type,simple_local,139,0.4532,0.2762,0.0,0.0,0.2086,100.0,63.7,0.2901,0.0,0.0037,0.9437,0.5468,0.0082,0.0082,0.9958,0.7554,0.5468,1.2302,0.7842
overall:scene_type,temporal_switch,87,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0263,0.98,1.0,0.0148,0.0148,1.1664,0.6437,0.6437,0.9655,0.9655
overall:length_bucket,long,132,0.0227,0.0083,0.0,0.0,0.0076,97.4,93.5,0.1163,0.0872,0.0127,0.9778,1.7727,0.0375,0.0375,1.5277,0.9167,0.9091,3.7121,3.5606
overall:length_bucket,medium,169,0.1479,0.0738,0.0,0.0,0.0651,97.4,79.7,0.2201,0.0914,0.0096,0.9677,1.213,0.0235,0.0235,1.2828,0.8817,0.8166,2.7692,2.2663
overall:length_bucket,noisy_long,144,0.0208,0.0079,0.0,0.0,0.0069,98.8,94.4,0.0833,0.0504,0.0119,0.9783,1.8889,0.042,0.042,1.581,0.875,0.8681,4.1111,3.9306
overall:length_bucket,short,95,0.3368,0.2025,0.0,0.0,0.1684,97.6,70.8,0.2725,0.0726,0.0059,0.9522,0.8211,0.0134,0.0134,1.1116,0.8316,0.6632,1.8,1.3053
