Method,Method (CN),Category,Travel Time (s),model_infer_time_s,route_solve_time_s,Planning Time (s),Constraint Rate (%),Signal Ratio (%),Notes
Dijkstra,Dijkstra（等权）,Baseline,719.57,0.00,0.000077,0.000077,32.42,0.0,统一权重基线；无 LLM 推理
Rule-A*,规则 A*,Baseline,513.55,0.00,0.000073,0.000073,61.57,91.7,人工规则权重 + A* 搜索
DQN,DQN 强化学习,Baseline,605.35,0.00,0.000068,0.000068,61.57,91.7,强化学习基线
GCN-Weight,GCN 权重估计,Baseline,572.88,0.00,0.000077,0.000077,61.57,71.85,图神经网络权重估计
Raw-Qwen,Qwen 原始提示,LLM-Prompt,719.57,10.28,0.000067,10.280067,32.42,0.0,无微调直接提示
CoT-Qwen,Qwen 链式思考,LLM-Prompt,629.12,8.36,0.000073,8.360073,35.47,3.1,链式推理提示
R1-Raw,DeepSeek-R1 原始,LLM-Prompt,651.77,26.58,0.000057,26.580057,36.77,38.58,R1 模型原始提示
Qwen-LoRA,Qwen-LoRA 微调,LLM-FineTuned,591.95,15.86,0.000050,15.860050,47.42,34.72,Qwen 全量 LoRA 微调
R1-LoRA,DeepSeek-R1 LoRA,LLM-FineTuned,785.65,31.49,0.000068,31.490068,42.73,51.73,R1 LoRA 微调
Sparse-LoRA,Sparse-LoRA（本文）,Ours,511.15,1.47,0.000080,1.470080,68.23,9.38,稀疏边权 LoRA；最优约束率
Sparse-LoRA+GAT,Sparse-LoRA+GAT（本文）,Ours,503.47,1.48,0.000073,1.480073,68.23,61.45,稀疏 LoRA + GAT 补全；最优综合性能
