Scenario,Method,Travel Time (s),model_infer_time_s,route_solve_time_s,Planning Time (s),Constraint Rate (%),Parsed Edge Ratio (%),Signal Ratio (%),Status,Failed,Failure Reason
场景A 黄河路单向拥堵,Dijkstra,623.9,0.00,0.000070,0.000070,50.0,0.0,0.0,ok,False,
场景B 花园路封闭绕行,Dijkstra,1685.0,0.00,0.000040,0.000040,60.0,0.0,0.0,ok,False,
场景C 多路段复合拥堵,Dijkstra,649.8,0.00,0.000080,0.000080,0.0,0.0,0.0,ok,False,
场景D 中央核心节点封锁（强迫大范围绕行）,Dijkstra,536.5,0.00,0.000130,0.000130,26.7,0.0,0.0,ok,False,
场景E 不对称方向拥堵（测试模型方向提取能力）,Dijkstra,773.7,0.00,0.000060,0.000060,36.4,0.0,0.0,ok,False,
场景F 大规模复合灾害（极限压力测试）,Dijkstra,446.5,0.00,0.000080,0.000080,21.4,0.0,0.0,ok,False,
场景A 黄河路单向拥堵,Rule-A*,436.8,0.00,0.000070,0.000070,100.0,100.0,91.7,ok,False,
场景B 花园路封闭绕行,Rule-A*,708.4,0.00,0.000040,0.000040,100.0,100.0,91.7,ok,False,
场景C 多路段复合拥堵,Rule-A*,544.6,0.00,0.000070,0.000070,28.6,100.0,91.7,ok,False,
场景D 中央核心节点封锁（强迫大范围绕行）,Rule-A*,490.4,0.00,0.000080,0.000080,46.7,100.0,91.7,ok,False,
场景E 不对称方向拥堵（测试模型方向提取能力）,Rule-A*,454.6,0.00,0.000070,0.000070,72.7,100.0,91.7,ok,False,
场景F 大规模复合灾害（极限压力测试）,Rule-A*,446.5,0.00,0.000090,0.000090,21.4,100.0,91.7,ok,False,
场景A 黄河路单向拥堵,DQN,811.8,0.00,0.000070,0.000070,100.0,100.0,91.7,ok,False,
场景B 花园路封闭绕行,DQN,1865.2,0.00,0.000040,0.000040,100.0,100.0,91.7,ok,False,
场景C 多路段复合拥堵,DQN,268.2,0.00,0.000080,0.000080,28.6,100.0,91.7,ok,False,
场景D 中央核心节点封锁（强迫大范围绕行）,DQN,268.2,0.00,0.000080,0.000080,46.7,100.0,91.7,ok,False,
场景E 不对称方向拥堵（测试模型方向提取能力）,DQN,889.0,0.00,0.000070,0.000070,72.7,100.0,91.7,ok,False,
场景F 大规模复合灾害（极限压力测试）,DQN,529.7,0.00,0.000070,0.000070,21.4,100.0,91.7,ok,False,
场景A 黄河路单向拥堵,GCN-Weight,436.8,0.00,0.000060,0.000060,100.0,100.0,72.9,ok,False,
场景B 花园路封闭绕行,GCN-Weight,708.4,0.00,0.000050,0.000050,100.0,100.0,72.9,ok,False,
场景C 多路段复合拥堵,GCN-Weight,533.6,0.00,0.000080,0.000080,28.6,100.0,72.9,ok,False,
场景D 中央核心节点封锁（强迫大范围绕行）,GCN-Weight,682.2,0.00,0.000130,0.000130,46.7,100.0,72.9,ok,False,
场景E 不对称方向拥堵（测试模型方向提取能力）,GCN-Weight,394.1,0.00,0.000060,0.000060,72.7,100.0,70.8,ok,False,
场景F 大规模复合灾害（极限压力测试）,GCN-Weight,682.2,0.00,0.000080,0.000080,21.4,100.0,70.8,ok,False,
场景A 黄河路单向拥堵,Raw-Qwen,623.9,20.41,0.000070,20.410070,50.0,0.0,0.0,ok,False,
场景B 花园路封闭绕行,Raw-Qwen,1685.0,4.97,0.000040,4.970040,60.0,0.0,0.0,ok,False,
场景C 多路段复合拥堵,Raw-Qwen,649.8,7.21,0.000080,7.210080,0.0,0.0,0.0,ok,False,
场景D 中央核心节点封锁（强迫大范围绕行）,Raw-Qwen,536.5,11.36,0.000080,11.360080,26.7,0.0,0.0,ok,False,
场景E 不对称方向拥堵（测试模型方向提取能力）,Raw-Qwen,773.7,5.96,0.000050,5.960050,36.4,0.0,0.0,ok,False,
