scenario,method,path_cost,path_len,constraint_rate,planning_ms,plan_ms,init_ms,infer_ms,smooth_ms,sim_ms,total_ms,timing_info,timing_info_json,cold_start,warm_start,warmup_excluded,parsed_edges,parsed_edge_ratio,signal_edges,signal_ratio,default_edges,coverage,time_s,sumo_time,total_edges
场景A 黄河路单向拥堵,Dijkstra,5.0,5,50.0,0.07,0.07,0.0,0.0,0.0,1943.74,1943.8,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1943.8, 'cold_start': True}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1943.8, ""cold_start"": true}",True,False,True,0,0.0,0,0.0,96,0.0,0.0,623.9,96
场景A 黄河路单向拥堵,Rule-A*,16.0,6,100.0,0.06,0.06,0.0,0.0,0.0,1857.59,1857.65,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1857.65, 'cold_start': True}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1857.65, ""cold_start"": true}",True,False,True,96,100.0,88,91.7,8,91.7,0.0,436.8,96
场景A 黄河路单向拥堵,DQN,27.6,13,100.0,,,,,,,,,,,,,96,,,,,89.8,0.02,943.8,
场景A 黄河路单向拥堵,GCN-Weight,16.4,6,100.0,,,,,,,,,,,,,96,,,,,98.0,0.0,436.8,
场景A 黄河路单向拥堵,Raw-Qwen,10.0,5,50.0,,,,,,,,,,,,,96,,,,,0.0,9.85,623.9,
场景A 黄河路单向拥堵,CoT-Qwen,12.0,6,50.0,,,,,,,,,,,,,96,,,,,3.1,6.72,436.8,
场景A 黄河路单向拥堵,Qwen-LoRA★,11.5,6,66.7,,,,,,,,,,,,,96,,,,,68.4,15.52,436.8,
场景A 黄河路单向拥堵,LoRA+GAT★★,12.99,6,66.7,,,,,,,,,,,,,96,,,,,98.0,15.33,436.8,
场景A 黄河路单向拥堵,Sparse-LoRA★★,18.2,6,100.0,,,,,,,,,,,,,96,,,,,9.2,0.87,436.8,
场景A 黄河路单向拥堵,R1-LoRA★,3.8,6,50.0,,,,,,,,,,,,,96,,,,,60.2,20.18,526.8,
场景A 黄河路单向拥堵,R1-Raw,10.0,5,50.0,,,,,,,,,,,,,96,,,,,26.5,18.87,623.9,
场景A 黄河路单向拥堵,Sparse-LoRA+GAT★★★,18.41,6,100.0,,,,,,,,,,,,,95,,,,,93.9,0.87,436.8,
场景B 花园路封闭绕行,Dijkstra,4.0,4,60.0,0.04,0.04,0.0,0.0,0.0,2849.92,2849.96,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 2849.96, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 2849.96, ""cold_start"": false}",False,True,True,0,0.0,0,0.0,96,0.0,0.0,1685.0,96
场景B 花园路封闭绕行,Rule-A*,16.5,5,100.0,0.04,0.04,0.0,0.0,0.0,2007.47,2007.52,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 2007.52, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 2007.52, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,708.4,96
场景B 花园路封闭绕行,DQN,58.6,25,100.0,,,,,,,,,,,,,96,,,,,89.8,0.0,1771.4,
场景B 花园路封闭绕行,GCN-Weight,16.3,5,100.0,,,,,,,,,,,,,96,,,,,98.0,0.0,708.4,
场景B 花园路封闭绕行,Raw-Qwen,8.0,4,60.0,,,,,,,,,,,,,96,,,,,0.0,12.61,1685.0,
场景B 花园路封闭绕行,CoT-Qwen,10.0,5,60.0,,,,,,,,,,,,,96,,,,,3.1,2.02,991.5,
场景B 花园路封闭绕行,Qwen-LoRA★,12.4,5,100.0,,,,,,,,,,,,,96,,,,,68.4,15.04,708.4,
场景B 花园路封闭绕行,LoRA+GAT★★,13.54,5,100.0,,,,,,,,,,,,,96,,,,,99.0,14.87,708.4,
