scenario,method,path_cost,path_len,constraint_rate,planning_ms,plan_ms,init_ms,infer_ms,smooth_ms,sim_ms,total_ms,timing_info,timing_info_json,cold_start,warm_start,warmup_excluded,parsed_edges,parsed_edge_ratio,signal_edges,signal_ratio,default_edges,coverage,time_s,sumo_time,total_edges
场景A 黄河路单向拥堵,Dijkstra,5.0,5,50.0,0.07,0.07,0.0,0.0,0.0,1945.46,1945.53,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1945.53, 'cold_start': True}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1945.53, ""cold_start"": true}",True,False,True,0,0.0,0,0.0,96,0.0,0.0,623.9,96
场景A 黄河路单向拥堵,Rule-A*,16.0,6,100.0,0.07,0.07,0.0,0.0,0.0,1836.87,1836.94,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1836.94, 'cold_start': True}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1836.94, ""cold_start"": true}",True,False,True,96,100.0,88,91.7,8,91.7,0.0,436.8,96
场景A 黄河路单向拥堵,DQN,27.6,13,100.0,,,,,,,,,,,,,96,,,,,89.8,0.02,943.8,
场景A 黄河路单向拥堵,GCN-Weight,16.4,6,100.0,,,,,,,,,,,,,96,,,,,98.0,0.0,436.8,
场景A 黄河路单向拥堵,Raw-Qwen,10.0,5,50.0,0.07,0.07,6533.02,11866.88,0.0,1881.79,20281.75,"{'init_ms': 6533.02, 'infer_ms': 11866.88, 'smooth_ms': 0.0, 'total_ms': 20281.75, 'cold_start': True}","{""init_ms"": 6533.02, ""infer_ms"": 11866.88, ""smooth_ms"": 0.0, ""total_ms"": 20281.75, ""cold_start"": true}",True,False,True,0,0.0,0,0.0,96,0.0,11.87,623.9,96
场景A 黄河路单向拥堵,CoT-Qwen,12.0,6,66.7,0.08,0.08,6533.02,4321.18,0.0,1784.5,12638.77,"{'init_ms': 6533.02, 'infer_ms': 4321.18, 'smooth_ms': 0.0, 'total_ms': 12638.77, 'cold_start': True}","{""init_ms"": 6533.02, ""infer_ms"": 4321.18, ""smooth_ms"": 0.0, ""total_ms"": 12638.77, ""cold_start"": true}",True,False,True,3,3.1,2,2.1,94,2.1,4.32,436.8,96
场景A 黄河路单向拥堵,Qwen-LoRA★,11.5,6,66.7,0.02,0.02,1854.87,19910.76,0.0,1839.3,23604.95,"{'init_ms': 1854.87, 'infer_ms': 19910.76, 'smooth_ms': 0.0, 'total_ms': 23604.95, 'cold_start': True}","{""init_ms"": 1854.87, ""infer_ms"": 19910.76, ""smooth_ms"": 0.0, ""total_ms"": 23604.95, ""cold_start"": true}",True,False,True,96,100.0,67,69.8,29,69.8,19.91,436.8,96
场景A 黄河路单向拥堵,LoRA+GAT★★,12.99,6,66.7,0.02,0.02,1854.87,19867.94,0.0,1785.35,23508.18,"{'init_ms': 1854.87, 'infer_ms': 19867.94, 'smooth_ms': 0.0, 'total_ms': 23508.18, 'cold_start': True}","{""init_ms"": 1854.87, ""infer_ms"": 19867.94, ""smooth_ms"": 0.0, ""total_ms"": 23508.18, ""cold_start"": true}",True,False,True,96,100.0,83,86.5,13,86.5,19.87,436.8,96
场景A 黄河路单向拥堵,Sparse-LoRA★★,18.2,6,100.0,0.08,0.08,1895.78,1121.51,0.0,1838.59,4855.96,"{'init_ms': 1895.78, 'infer_ms': 1121.51, 'smooth_ms': 0.0, 'total_ms': 4855.96, 'cold_start': True}","{""init_ms"": 1895.78, ""infer_ms"": 1121.51, ""smooth_ms"": 0.0, ""total_ms"": 4855.96, ""cold_start"": true}",True,False,True,9,9.4,9,9.4,87,9.4,1.12,436.8,96
场景A 黄河路单向拥堵,R1-LoRA★,3.8,6,50.0,0.04,0.04,2130.48,26088.51,0.0,1905.2,30124.22,"{'init_ms': 2130.48, 'infer_ms': 26088.51, 'smooth_ms': 0.0, 'total_ms': 30124.22, 'cold_start': True}","{""init_ms"": 2130.48, ""infer_ms"": 26088.51, ""smooth_ms"": 0.0, ""total_ms"": 30124.22, ""cold_start"": true}",True,False,True,96,100.0,59,61.5,37,61.5,26.09,526.8,96
场景A 黄河路单向拥堵,R1-Raw,10.0,5,50.0,0.07,0.07,1850.44,24567.23,0.0,1883.79,28301.53,"{'init_ms': 1850.44, 'infer_ms': 24567.23, 'smooth_ms': 0.0, 'total_ms': 28301.53, 'cold_start': True}","{""init_ms"": 1850.44, ""infer_ms"": 24567.23, ""smooth_ms"": 0.0, ""total_ms"": 28301.53, ""cold_start"": true}",True,False,True,27,28.1,26,27.1,70,27.1,24.57,623.9,96
场景A 黄河路单向拥堵,Sparse-LoRA+GAT★★★,18.41,6,100.0,0.07,0.07,1895.78,1125.22,0.0,1835.59,4856.67,"{'init_ms': 1895.78, 'infer_ms': 1125.22, 'smooth_ms': 0.0, 'total_ms': 4856.67, 'cold_start': True}","{""init_ms"": 1895.78, ""infer_ms"": 1125.22, ""smooth_ms"": 0.0, ""total_ms"": 4856.67, ""cold_start"": true}",True,False,True,9,9.4,62,64.6,34,64.6,1.13,436.8,96
场景B 花园路封闭绕行,Dijkstra,4.0,4,60.0,0.04,0.04,0.0,0.0,0.0,2441.41,2441.45,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 2441.45, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 2441.45, ""cold_start"": false}",False,True,True,0,0.0,0,0.0,96,0.0,0.0,1685.0,96
场景B 花园路封闭绕行,Rule-A*,16.5,5,100.0,0.04,0.04,0.0,0.0,0.0,1920.27,1920.32,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1920.32, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1920.32, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,708.4,96
场景B 花园路封闭绕行,DQN,58.6,25,100.0,,,,,,,,,,,,,96,,,,,89.8,0.0,1771.4,
场景B 花园路封闭绕行,GCN-Weight,16.3,5,100.0,,,,,,,,,,,,,96,,,,,98.0,0.0,708.4,
场景B 花园路封闭绕行,Raw-Qwen,8.0,4,60.0,0.04,0.04,0.0,16153.34,0.0,2772.21,18925.59,"{'init_ms': 0.0, 'infer_ms': 16153.34, 'smooth_ms': 0.0, 'total_ms': 18925.59, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 16153.34, ""smooth_ms"": 0.0, ""total_ms"": 18925.59, ""cold_start"": false}",False,True,True,0,0.0,0,0.0,96,0.0,16.15,1685.0,96
场景B 花园路封闭绕行,CoT-Qwen,10.0,5,60.0,0.06,0.06,0.0,2355.66,0.0,2080.24,4435.96,"{'init_ms': 0.0, 'infer_ms': 2355.66, 'smooth_ms': 0.0, 'total_ms': 4435.96, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 2355.66, ""smooth_ms"": 0.0, ""total_ms"": 4435.96, ""cold_start"": false}",False,True,True,3,3.1,3,3.1,93,3.1,2.36,991.5,96
场景B 花园路封闭绕行,Qwen-LoRA★,12.4,5,100.0,0.02,0.02,0.0,19395.97,0.0,1938.12,21334.12,"{'init_ms': 0.0, 'infer_ms': 19395.97, 'smooth_ms': 0.0, 'total_ms': 21334.12, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 19395.97, ""smooth_ms"": 0.0, ""total_ms"": 21334.12, ""cold_start"": false}",False,True,True,96,100.0,67,69.8,29,69.8,19.4,708.4,96
场景B 花园路封闭绕行,LoRA+GAT★★,13.54,5,100.0,0.03,0.03,0.0,19361.38,0.0,1924.18,21285.59,"{'init_ms': 0.0, 'infer_ms': 19361.38, 'smooth_ms': 0.0, 'total_ms': 21285.59, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 19361.38, ""smooth_ms"": 0.0, ""total_ms"": 21285.59, ""cold_start"": false}",False,True,True,96,100.0,82,85.4,14,85.4,19.36,708.4,96
