scenario,method,path_cost,path_len,constraint_rate,planning_ms,plan_ms,init_ms,infer_ms,smooth_ms,sim_ms,total_ms,timing_info,timing_info_json,cold_start,warm_start,warmup_excluded,parsed_edges,parsed_edge_ratio,signal_edges,signal_ratio,default_edges,coverage,time_s,sumo_time,total_edges,status,parse_failed,fallback_status
场景A 黄河路单向拥堵,Dijkstra,5.0,5,50.0,0.07,0.07,0.0,0.0,0.0,1965.35,1965.42,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1965.42, 'cold_start': True}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1965.42, ""cold_start"": true}",True,False,True,0,0.0,0,0.0,96,0.0,0.0,623.9,96,ok,False,ok
场景A 黄河路单向拥堵,Rule-A*,16.0,6,100.0,0.06,0.06,0.0,0.0,0.0,1970.34,1970.41,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1970.41, 'cold_start': True}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1970.41, ""cold_start"": true}",True,False,True,96,100.0,88,91.7,8,91.7,0.0,436.8,96,ok,False,ok
场景A 黄河路单向拥堵,DQN,32.6,14,100.0,0.07,0.07,0.0,0.0,0.0,2112.26,2112.33,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 2112.33, 'cold_start': True}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 2112.33, ""cold_start"": true}",True,False,True,96,100.0,88,91.7,8,91.7,0.0,811.8,96,ok,False,ok
场景A 黄河路单向拥堵,GCN-Weight,16.4,6,100.0,0.06,0.06,0.0,0.0,0.0,1888.67,1888.73,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1888.73, 'cold_start': True}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1888.73, ""cold_start"": true}",True,False,True,96,100.0,70,72.9,26,72.9,0.0,436.8,96,ok,False,ok
场景A 黄河路单向拥堵,Raw-Qwen,10.0,5,50.0,0.07,0.07,6256.46,20376.85,0.0,1919.37,28552.74,"{'init_ms': 6256.46, 'infer_ms': 20376.85, 'smooth_ms': 0.0, 'total_ms': 28552.74, 'cold_start': True}","{""init_ms"": 6256.46, ""infer_ms"": 20376.85, ""smooth_ms"": 0.0, ""total_ms"": 28552.74, ""cold_start"": true}",True,False,True,0,0.0,0,0.0,96,0.0,20.38,623.9,96,ok,False,ok
场景A 黄河路单向拥堵,CoT-Qwen,12.0,6,50.0,0.08,0.08,6256.46,16620.57,0.0,1784.09,24661.19,"{'init_ms': 6256.46, 'infer_ms': 16620.57, 'smooth_ms': 0.0, 'total_ms': 24661.19, 'cold_start': True}","{""init_ms"": 6256.46, ""infer_ms"": 16620.57, ""smooth_ms"": 0.0, ""total_ms"": 24661.19, ""cold_start"": true}",True,False,True,3,3.1,3,3.1,93,3.1,16.62,436.8,96,ok,False,ok
场景A 黄河路单向拥堵,Qwen-LoRA★,11.3,6,100.0,0.03,0.03,1854.31,20041.1,0.0,1850.34,23745.78,"{'init_ms': 1854.31, 'infer_ms': 20041.1, 'smooth_ms': 0.0, 'total_ms': 23745.78, 'cold_start': True}","{""init_ms"": 1854.31, ""infer_ms"": 20041.1, ""smooth_ms"": 0.0, ""total_ms"": 23745.78, ""cold_start"": true}",True,False,True,96,100.0,68,70.8,28,70.8,20.04,436.8,96,ok,False,ok
场景A 黄河路单向拥堵,LoRA+GAT★★,12.81,6,100.0,0.04,0.04,1854.31,20082.7,0.0,1782.97,23720.03,"{'init_ms': 1854.31, 'infer_ms': 20082.7, 'smooth_ms': 0.0, 'total_ms': 23720.03, 'cold_start': True}","{""init_ms"": 1854.31, ""infer_ms"": 20082.7, ""smooth_ms"": 0.0, ""total_ms"": 23720.03, ""cold_start"": true}",True,False,True,96,100.0,82,85.4,14,85.4,20.08,436.8,96,ok,False,ok
场景A 黄河路单向拥堵,R1-Raw,10.0,5,50.0,0.07,0.07,1742.6,16697.51,0.0,1884.7,20324.88,"{'init_ms': 1742.6, 'infer_ms': 16697.51, 'smooth_ms': 0.0, 'total_ms': 20324.88, 'cold_start': True}","{""init_ms"": 1742.6, ""infer_ms"": 16697.51, ""smooth_ms"": 0.0, ""total_ms"": 20324.88, ""cold_start"": true}",True,False,True,0,0.0,0,0.0,96,0.0,16.7,623.9,96,ok,False,ok
场景A 黄河路单向拥堵,R1-LoRA★,10.0,5,50.0,0.07,0.07,1955.06,28924.97,0.0,1907.39,32787.5,"{'init_ms': 1955.06, 'infer_ms': 28924.97, 'smooth_ms': 0.0, 'total_ms': 32787.5, 'cold_start': True}","{""init_ms"": 1955.06, ""infer_ms"": 28924.97, ""smooth_ms"": 0.0, ""total_ms"": 32787.5, ""cold_start"": true}",True,False,True,0,0.0,0,0.0,96,0.0,28.93,623.9,96,ok,False,ok
场景A 黄河路单向拥堵,Sparse-LoRA★★,18.2,6,100.0,0.08,0.08,1773.33,1167.02,0.0,1785.87,4726.3,"{'init_ms': 1773.33, 'infer_ms': 1167.02, 'smooth_ms': 0.0, 'total_ms': 4726.3, 'cold_start': True}","{""init_ms"": 1773.33, ""infer_ms"": 1167.02, ""smooth_ms"": 0.0, ""total_ms"": 4726.3, ""cold_start"": true}",True,False,True,9,9.4,9,9.4,87,9.4,1.17,436.8,96,ok,False,ok
场景A 黄河路单向拥堵,Sparse-LoRA+GAT★★★,18.41,6,100.0,0.08,0.08,1773.33,1136.89,0.0,1825.81,4736.1,"{'init_ms': 1773.33, 'infer_ms': 1136.89, 'smooth_ms': 0.0, 'total_ms': 4736.1, 'cold_start': True}","{""init_ms"": 1773.33, ""infer_ms"": 1136.89, ""smooth_ms"": 0.0, ""total_ms"": 4736.1, ""cold_start"": true}",True,False,True,9,9.4,62,64.6,34,64.6,1.14,436.8,96,ok,False,ok
场景B 花园路封闭绕行,Dijkstra,4.0,4,60.0,0.04,0.04,0.0,0.0,0.0,2858.23,2858.27,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 2858.27, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 2858.27, ""cold_start"": false}",False,True,True,0,0.0,0,0.0,96,0.0,0.0,1685.0,96,ok,False,ok
场景B 花园路封闭绕行,Rule-A*,16.5,5,100.0,0.04,0.04,0.0,0.0,0.0,1980.07,1980.11,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1980.11, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1980.11, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,708.4,96,ok,False,ok
场景B 花园路封闭绕行,DQN,62.6,26,100.0,0.04,0.04,0.0,0.0,0.0,2748.31,2748.35,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 2748.35, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 2748.35, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,1865.2,96,ok,False,ok
场景B 花园路封闭绕行,GCN-Weight,16.3,5,100.0,0.05,0.05,0.0,0.0,0.0,1979.59,1979.64,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1979.64, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1979.64, ""cold_start"": false}",False,True,True,96,100.0,70,72.9,26,72.9,0.0,708.4,96,ok,False,ok
场景B 花园路封闭绕行,Raw-Qwen,8.0,4,60.0,0.04,0.04,0.0,4992.68,0.0,2682.8,7675.52,"{'init_ms': 0.0, 'infer_ms': 4992.68, 'smooth_ms': 0.0, 'total_ms': 7675.52, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 4992.68, ""smooth_ms"": 0.0, ""total_ms"": 7675.52, ""cold_start"": false}",False,True,True,0,0.0,0,0.0,96,0.0,4.99,1685.0,96,ok,False,ok
场景B 花园路封闭绕行,CoT-Qwen,10.0,5,60.0,0.07,0.07,0.0,11475.54,0.0,2241.82,13717.43,"{'init_ms': 0.0, 'infer_ms': 11475.54, 'smooth_ms': 0.0, 'total_ms': 13717.43, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 11475.54, ""smooth_ms"": 0.0, ""total_ms"": 13717.43, ""cold_start"": false}",False,True,True,3,3.1,3,3.1,93,3.1,11.48,991.5,96,ok,False,ok
场景B 花园路封闭绕行,Qwen-LoRA★,12.7,5,100.0,0.03,0.03,0.0,19546.04,0.0,2046.31,21592.38,"{'init_ms': 0.0, 'infer_ms': 19546.04, 'smooth_ms': 0.0, 'total_ms': 21592.38, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 19546.04, ""smooth_ms"": 0.0, ""total_ms"": 21592.38, ""cold_start"": false}",False,True,True,96,100.0,65,67.7,31,67.7,19.55,708.4,96,ok,False,ok
场景B 花园路封闭绕行,LoRA+GAT★★,13.79,5,100.0,0.03,0.03,0.0,19716.18,0.0,2029.77,21745.98,"{'init_ms': 0.0, 'infer_ms': 19716.18, 'smooth_ms': 0.0, 'total_ms': 21745.98, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 19716.18, ""smooth_ms"": 0.0, ""total_ms"": 21745.98, ""cold_start"": false}",False,True,True,96,100.0,84,87.5,12,87.5,19.72,708.4,96,ok,False,ok
场景B 花园路封闭绕行,R1-Raw,16.5,5,40.0,0.03,0.03,0.0,25751.26,0.0,1931.01,27682.29,"{'init_ms': 0.0, 'infer_ms': 25751.26, 'smooth_ms': 0.0, 'total_ms': 27682.29, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 25751.26, ""smooth_ms"": 0.0, ""total_ms"": 27682.29, ""cold_start"": false}",False,True,True,76,79.2,76,79.2,20,79.2,25.75,708.4,96,ok,False,ok
场景B 花园路封闭绕行,R1-LoRA★,22.0,4,80.0,0.06,0.06,0.0,26988.98,0.0,2719.56,29708.61,"{'init_ms': 0.0, 'infer_ms': 26988.98, 'smooth_ms': 0.0, 'total_ms': 29708.61, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 26988.98, ""smooth_ms"": 0.0, ""total_ms"": 29708.61, ""cold_start"": false}",False,True,True,96,100.0,96,100.0,0,100.0,26.99,1685.0,96,ok,False,ok
场景B 花园路封闭绕行,Sparse-LoRA★★,17.7,5,100.0,0.08,0.08,0.0,1121.78,0.0,1923.27,3045.12,"{'init_ms': 0.0, 'infer_ms': 1121.78, 'smooth_ms': 0.0, 'total_ms': 3045.12, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 1121.78, ""smooth_ms"": 0.0, ""total_ms"": 3045.12, ""cold_start"": false}",False,True,True,8,8.3,8,8.3,88,8.3,1.12,708.4,96,ok,False,ok
场景B 花园路封闭绕行,Sparse-LoRA+GAT★★★,17.87,5,100.0,0.06,0.06,0.0,1130.23,0.0,1984.54,3114.83,"{'init_ms': 0.0, 'infer_ms': 1130.23, 'smooth_ms': 0.0, 'total_ms': 3114.83, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 1130.23, ""smooth_ms"": 0.0, ""total_ms"": 3114.83, ""cold_start"": false}",False,True,True,8,8.3,62,64.6,34,64.6,1.13,708.4,96,ok,False,ok
