scenario,method,path_cost,path_len,constraint_rate,planning_ms,plan_ms,init_ms,infer_ms,smooth_ms,sim_ms,total_ms,timing_info,timing_info_json,cold_start,warm_start,warmup_excluded,parsed_edges,parsed_edge_ratio,signal_edges,signal_ratio,default_edges,coverage,time_s,sumo_time,total_edges,status,failed,failure_reason,parse_failed,parse_failure_reason,fallback_status
场景A 黄河路单向拥堵,Dijkstra,5.0,5,50.0,0.07,0.07,0.0,0.0,0.0,1883.72,1883.79,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1883.79, 'cold_start': True}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1883.79, ""cold_start"": true}",True,False,True,0,0.0,0,0.0,96,0.0,0.0,623.9,96,ok,False,,False,,ok
场景A 黄河路单向拥堵,Rule-A*,16.0,6,100.0,0.06,0.06,0.0,0.0,0.0,1870.52,1870.58,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1870.58, 'cold_start': True}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1870.58, ""cold_start"": true}",True,False,True,96,100.0,88,91.7,8,91.7,0.0,436.8,96,ok,False,,False,,ok
场景A 黄河路单向拥堵,DQN,32.6,14,100.0,0.07,0.07,0.0,0.0,0.0,2257.4,2257.47,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 2257.47, 'cold_start': True}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 2257.47, ""cold_start"": true}",True,False,True,96,100.0,88,91.7,8,91.7,0.0,811.8,96,ok,False,,False,,ok
场景A 黄河路单向拥堵,GCN-Weight,16.4,6,100.0,0.06,0.06,0.0,0.0,0.0,1910.95,1911.01,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1911.01, 'cold_start': True}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1911.01, ""cold_start"": true}",True,False,True,96,100.0,70,72.9,26,72.9,0.0,436.8,96,ok,False,,False,,ok
场景B 花园路封闭绕行,Dijkstra,4.0,4,60.0,0.04,0.04,0.0,0.0,0.0,2534.33,2534.37,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 2534.37, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 2534.37, ""cold_start"": false}",False,True,True,0,0.0,0,0.0,96,0.0,0.0,1685.0,96,ok,False,,False,,ok
场景B 花园路封闭绕行,Rule-A*,16.5,5,100.0,0.04,0.04,0.0,0.0,0.0,1974.61,1974.66,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1974.66, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1974.66, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,708.4,96,ok,False,,False,,ok
场景B 花园路封闭绕行,DQN,62.6,26,100.0,0.05,0.05,0.0,0.0,0.0,3021.11,3021.16,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 3021.16, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 3021.16, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,1865.2,96,ok,False,,False,,ok
场景B 花园路封闭绕行,GCN-Weight,16.3,5,100.0,0.05,0.05,0.0,0.0,0.0,2003.65,2003.7,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 2003.7, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 2003.7, ""cold_start"": false}",False,True,True,96,100.0,70,72.9,26,72.9,0.0,708.4,96,ok,False,,False,,ok
场景C 多路段复合拥堵,Dijkstra,8.0,8,0.0,0.08,0.08,0.0,0.0,0.0,1952.54,1952.62,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1952.62, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1952.62, ""cold_start"": false}",False,True,True,0,0.0,0,0.0,96,0.0,0.0,649.8,96,ok,False,,False,,ok
场景C 多路段复合拥堵,Rule-A*,17.2,8,28.6,0.07,0.07,0.0,0.0,0.0,1909.92,1910.0,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1910.0, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1910.0, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,544.6,96,ok,False,,False,,ok
场景C 多路段复合拥堵,DQN,10.0,4,28.6,0.07,0.07,0.0,0.0,0.0,1749.98,1750.05,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1750.05, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1750.05, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,268.2,96,ok,False,,False,,ok
场景C 多路段复合拥堵,GCN-Weight,14.75,8,28.6,0.07,0.07,0.0,0.0,0.0,1885.24,1885.32,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1885.32, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1885.32, ""cold_start"": false}",False,True,True,96,100.0,70,72.9,26,72.9,0.0,533.6,96,ok,False,,False,,ok
