scenario,oracle_cost,method,planning_ms,plan_ms,init_ms,infer_ms,smooth_ms,sim_ms,total_ms,timing_info,timing_info_json,cold_start,warm_start,warmup_excluded,hops,cost,overhead_pct,weight_mae,parsed_edges,parsed_edge_ratio,signal_edges,signal_ratio,default_edges,parse_rate,total_edges,status,failed,skipped,failure_reason,parse_failed,parse_failure_reason,fallback_status
SmallNet-密集场景A：三事件同域拥堵,18.5,Uniform-Dijkstra,0.04,0.04,0.0,0.0,0.0,0.0,0.05,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 0.05, 'cold_start': True}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 0.05, ""cold_start"": true}",True,False,True,6,6.0,-67.57,6.833,0,0.0,0,0.0,24,0.0,24,ok,False,False,,False,,ok
SmallNet-密集场景A：三事件同域拥堵,18.5,Rule-Dijkstra,0.04,0.04,0.0,0.0,0.0,0.0,0.32,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 0.32, 'cold_start': True}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 0.32, ""cold_start"": true}",True,False,True,6,18.0,-2.7,0.167,3,12.5,3,12.5,21,12.5,24,ok,False,False,,False,,ok
SmallNet-密集场景A：三事件同域拥堵,18.5,Qwen-LoRA★,0.06,0.06,2844.8,20594.53,0.0,0.0,20596.04,"{'init_ms': 2844.8, 'infer_ms': 20594.53, 'smooth_ms': 0.0, 'total_ms': 20596.04, 'cold_start': True}","{""init_ms"": 2844.8, ""infer_ms"": 20594.53, ""smooth_ms"": 0.0, ""total_ms"": 20596.04, ""cold_start"": true}",True,False,True,6,12.0,-35.14,5.833,0,0.0,0,0.0,24,0.0,24,parse_failed_default_2.0,False,False,,True,parser returned no valid smallnet edge weights; fallback to default 2.0,parse_failed_default_2.0
SmallNet-密集场景A：三事件同域拥堵,18.5,R1-LoRA★,0.06,0.06,1870.11,25075.35,0.0,0.0,25075.58,"{'init_ms': 1870.11, 'infer_ms': 25075.35, 'smooth_ms': 0.0, 'total_ms': 25075.58, 'cold_start': True}","{""init_ms"": 1870.11, ""infer_ms"": 25075.35, ""smooth_ms"": 0.0, ""total_ms"": 25075.58, ""cold_start"": true}",True,False,True,6,14.0,-24.32,3.833,21,87.5,21,87.5,3,87.5,24,ok,False,False,,False,,ok
SmallNet-密集场景A：三事件同域拥堵,18.5,Sparse-LoRA★★,0.06,0.06,1916.71,511.7,0.0,0.0,511.85,"{'init_ms': 1916.71, 'infer_ms': 511.7, 'smooth_ms': 0.0, 'total_ms': 511.85, 'cold_start': True}","{""init_ms"": 1916.71, ""infer_ms"": 511.7, ""smooth_ms"": 0.0, ""total_ms"": 511.85, ""cold_start"": true}",True,False,True,6,12.0,-35.14,4.9,3,12.5,3,12.5,21,12.5,24,ok,False,False,,False,,ok
SmallNet-密集场景A：三事件同域拥堵,18.5,Sparse-LoRA+GAT★★★,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 0.0, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 0.0, ""cold_start"": false}",False,False,True,0,,,,0,0.0,0,0.0,24,0.0,24,skipped,False,True,smallnet_gat_not_supported: 当前 GAT 仅适配主路网边模式，未训练 24 边 SmallNet 图。,False,,skipped
SmallNet-密集场景B：中轴拥堵,10.0,Uniform-Dijkstra,0.03,0.03,0.0,0.0,0.0,0.0,0.04,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 0.04, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 0.04, ""cold_start"": false}",False,True,True,5,5.0,-50.0,4.667,0,0.0,0,0.0,24,0.0,24,ok,False,False,,False,,ok
SmallNet-密集场景B：中轴拥堵,10.0,Rule-Dijkstra,0.03,0.03,0.0,0.0,0.0,0.0,0.08,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 0.08, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 0.08, ""cold_start"": false}",False,True,True,5,10.0,0.0,0.333,3,12.5,3,12.5,21,12.5,24,ok,False,False,,False,,ok
SmallNet-密集场景B：中轴拥堵,10.0,Qwen-LoRA★,0.05,0.05,0.0,20360.75,0.0,0.0,20361.36,"{'init_ms': 0.0, 'infer_ms': 20360.75, 'smooth_ms': 0.0, 'total_ms': 20361.36, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 20360.75, ""smooth_ms"": 0.0, ""total_ms"": 20361.36, ""cold_start"": false}",False,True,True,5,8.6,-14.0,3.6,24,100.0,14,58.3,10,100.0,24,ok,False,False,,False,,ok
SmallNet-密集场景B：中轴拥堵,10.0,R1-LoRA★,0.05,0.05,0.0,8087.09,0.0,0.0,8087.32,"{'init_ms': 0.0, 'infer_ms': 8087.09, 'smooth_ms': 0.0, 'total_ms': 8087.32, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 8087.09, ""smooth_ms"": 0.0, ""total_ms"": 8087.32, ""cold_start"": false}",False,True,True,5,12.0,20.0,4.0,21,87.5,16,66.7,8,87.5,24,ok,False,False,,False,,ok
SmallNet-密集场景B：中轴拥堵,10.0,Sparse-LoRA★★,0.05,0.05,0.0,558.65,0.0,0.0,558.78,"{'init_ms': 0.0, 'infer_ms': 558.65, 'smooth_ms': 0.0, 'total_ms': 558.78, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 558.65, ""smooth_ms"": 0.0, ""total_ms"": 558.78, ""cold_start"": false}",False,True,True,5,10.0,0.0,2.853,3,12.5,3,12.5,21,12.5,24,ok,False,False,,False,,ok
