scenario,method,path_cost,path_len,constraint_rate,planning_ms,plan_ms,init_ms,infer_ms,smooth_ms,sim_ms,total_ms,timing_info,timing_info_json,cold_start,warm_start,warmup_excluded,parsed_edges,parsed_edge_ratio,signal_edges,signal_ratio,default_edges,coverage,time_s,sumo_time,total_edges,status,failed,failure_reason,parse_failed,parse_failure_reason,fallback_status
场景A 黄河路单向拥堵,Dijkstra,5.0,5,50.0,0.07,0.07,0.0,0.0,0.0,1893.97,1894.03,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1894.03, 'cold_start': True}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1894.03, ""cold_start"": true}",True,False,True,0,0.0,0,0.0,96,0.0,0.0,623.9,96,ok,False,,False,,ok
场景A 黄河路单向拥堵,Rule-A*,16.0,6,100.0,0.07,0.07,0.0,0.0,0.0,1850.62,1850.69,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1850.69, 'cold_start': True}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1850.69, ""cold_start"": true}",True,False,True,96,100.0,88,91.7,8,91.7,0.0,436.8,96,ok,False,,False,,ok
场景A 黄河路单向拥堵,DQN,32.6,14,100.0,0.07,0.07,0.0,0.0,0.0,2059.82,2059.89,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 2059.89, 'cold_start': True}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 2059.89, ""cold_start"": true}",True,False,True,96,100.0,88,91.7,8,91.7,0.0,811.8,96,ok,False,,False,,ok
场景A 黄河路单向拥堵,GCN-Weight,16.4,6,100.0,0.06,0.06,0.0,0.0,0.0,1789.08,1789.14,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1789.14, 'cold_start': True}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1789.14, ""cold_start"": true}",True,False,True,96,100.0,70,72.9,26,72.9,0.0,436.8,96,ok,False,,False,,ok
场景A 黄河路单向拥堵,Raw-Qwen,10.0,5,50.0,0.07,0.07,6210.01,20411.03,0.0,1889.34,28510.45,"{'init_ms': 6210.01, 'infer_ms': 20411.03, 'smooth_ms': 0.0, 'total_ms': 28510.45, 'cold_start': True}","{""init_ms"": 6210.01, ""infer_ms"": 20411.03, ""smooth_ms"": 0.0, ""total_ms"": 28510.45, ""cold_start"": true}",True,False,True,0,0.0,0,0.0,96,0.0,20.41,623.9,96,ok,False,,False,,ok
场景A 黄河路单向拥堵,CoT-Qwen,12.0,6,50.0,0.08,0.08,6210.01,16811.25,0.0,1785.36,24806.7,"{'init_ms': 6210.01, 'infer_ms': 16811.25, 'smooth_ms': 0.0, 'total_ms': 24806.7, 'cold_start': True}","{""init_ms"": 6210.01, ""infer_ms"": 16811.25, ""smooth_ms"": 0.0, ""total_ms"": 24806.7, ""cold_start"": true}",True,False,True,3,3.1,3,3.1,93,3.1,16.81,436.8,96,ok,False,,False,,ok
场景A 黄河路单向拥堵,Qwen-LoRA★,11.3,6,100.0,0.03,0.03,1896.94,20305.6,0.0,1798.56,24001.14,"{'init_ms': 1896.94, 'infer_ms': 20305.6, 'smooth_ms': 0.0, 'total_ms': 24001.14, 'cold_start': True}","{""init_ms"": 1896.94, ""infer_ms"": 20305.6, ""smooth_ms"": 0.0, ""total_ms"": 24001.14, ""cold_start"": true}",True,False,True,96,100.0,68,70.8,28,70.8,20.31,436.8,96,ok,False,,False,,ok
场景A 黄河路单向拥堵,LoRA+GAT★★,12.81,6,100.0,0.04,0.04,1896.94,20221.0,0.0,1788.3,23906.29,"{'init_ms': 1896.94, 'infer_ms': 20221.0, 'smooth_ms': 0.0, 'total_ms': 23906.29, 'cold_start': True}","{""init_ms"": 1896.94, ""infer_ms"": 20221.0, ""smooth_ms"": 0.0, ""total_ms"": 23906.29, ""cold_start"": true}",True,False,True,96,100.0,82,85.4,14,85.4,20.22,436.8,96,ok,False,,False,,ok
场景A 黄河路单向拥堵,R1-Raw,10.0,5,50.0,0.07,0.07,1684.07,16639.03,0.0,1879.08,20202.25,"{'init_ms': 1684.07, 'infer_ms': 16639.03, 'smooth_ms': 0.0, 'total_ms': 20202.25, 'cold_start': True}","{""init_ms"": 1684.07, ""infer_ms"": 16639.03, ""smooth_ms"": 0.0, ""total_ms"": 20202.25, ""cold_start"": true}",True,False,True,0,0.0,0,0.0,96,0.0,16.64,623.9,96,ok,False,,False,,ok
场景A 黄河路单向拥堵,R1-LoRA★,10.0,5,50.0,0.07,0.07,1885.26,28529.3,0.0,1883.81,32298.44,"{'init_ms': 1885.26, 'infer_ms': 28529.3, 'smooth_ms': 0.0, 'total_ms': 32298.44, 'cold_start': True}","{""init_ms"": 1885.26, ""infer_ms"": 28529.3, ""smooth_ms"": 0.0, ""total_ms"": 32298.44, ""cold_start"": true}",True,False,True,0,0.0,0,0.0,96,0.0,28.53,623.9,96,ok,False,,False,,ok
