scenario,method,path_cost,path_len,constraint_rate,planning_ms,coverage,time_s,sumo_time,total_edges
场景A 黄河路单向拥堵,Dijkstra,5.0,5,50.0,0.0,0.0,0.0,623.9,96
场景A 黄河路单向拥堵,Rule-A*,16.0,6,100.0,0.0,89.8,0.0,436.8,96
场景A 黄河路单向拥堵,DQN,27.6,13,100.0,20.0,89.8,0.02,943.8,96
场景A 黄河路单向拥堵,GCN-Weight,16.4,6,100.0,0.0,98.0,0.0,436.8,96
场景A 黄河路单向拥堵,Raw-Qwen,10.0,5,50.0,20720.0,0.0,20.72,623.9,96
场景A 黄河路单向拥堵,CoT-Qwen,12.0,6,50.0,16620.0,3.1,16.62,436.8,96
场景A 黄河路单向拥堵,Qwen-LoRA★,11.5,6,66.7,20380.0,68.4,20.38,436.8,96
场景A 黄河路单向拥堵,LoRA+GAT★★,13.06,6,66.7,20380.0,94.9,20.38,436.8,96
场景A 黄河路单向拥堵,R1-Raw,10.0,5,50.0,16900.0,0.0,16.9,623.9,96
场景A 黄河路单向拥堵,R1-LoRA★,10.0,5,50.0,29200.0,0.0,29.2,623.9,96
场景A 黄河路单向拥堵,Sparse-LoRA★★,18.2,6,100.0,1130.0,9.2,1.13,436.8,96
场景A 黄河路单向拥堵,Sparse-LoRA+GAT★★★,18.45,6,100.0,1130.0,93.9,1.13,436.8,96
场景B 花园路封闭绕行,Dijkstra,4.0,4,60.0,0.0,0.0,0.0,1685.0,96
场景B 花园路封闭绕行,Rule-A*,16.5,5,100.0,0.0,89.8,0.0,708.4,96
场景B 花园路封闭绕行,DQN,57.3,22,100.0,0.0,89.8,0.0,2112.6,96
场景B 花园路封闭绕行,GCN-Weight,16.3,5,100.0,0.0,98.0,0.0,708.4,96
场景B 花园路封闭绕行,Raw-Qwen,8.0,4,60.0,4890.0,0.0,4.89,1685.0,96
场景B 花园路封闭绕行,CoT-Qwen,10.0,5,60.0,11380.0,3.1,11.38,991.5,96
场景B 花园路封闭绕行,Qwen-LoRA★,12.4,5,100.0,19670.0,68.4,19.67,708.4,96
场景B 花园路封闭绕行,LoRA+GAT★★,13.6,5,100.0,19680.0,95.9,19.68,708.4,96
场景B 花园路封闭绕行,R1-Raw,16.5,5,40.0,26380.0,77.6,26.38,708.4,96
场景B 花园路封闭绕行,R1-LoRA★,22.0,4,80.0,27640.0,100.0,27.64,1685.0,96
场景B 花园路封闭绕行,Sparse-LoRA★★,17.7,5,100.0,1150.0,8.2,1.15,708.4,96
场景B 花园路封闭绕行,Sparse-LoRA+GAT★★★,17.89,5,100.0,1130.0,91.8,1.13,708.4,96
场景C 多路段复合拥堵,Dijkstra,8.0,8,0.0,0.0,0.0,0.0,649.8,96
场景C 多路段复合拥堵,Rule-A*,17.2,8,28.6,0.0,89.8,0.0,544.6,96
场景C 多路段复合拥堵,DQN,41.6,20,28.6,0.0,89.8,0.0,1258.7,96
场景C 多路段复合拥堵,GCN-Weight,14.75,8,28.6,0.0,98.0,0.0,533.6,96
场景C 多路段复合拥堵,Raw-Qwen,16.0,8,0.0,7450.0,0.0,7.45,649.8,96
场景C 多路段复合拥堵,CoT-Qwen,16.0,8,0.0,8760.0,3.1,8.76,588.7,96
