scenario,method,path_cost,path_len,constraint_rate,planning_ms,coverage,time_s,sumo_time,total_edges
场景A 黄河路单向拥堵,Dijkstra,5.0,5,50.0,0.0,0.0,0.0,623.9,96
场景A 黄河路单向拥堵,Rule-A*,16.0,6,100.0,0.0,89.8,0.0,436.8,96
场景A 黄河路单向拥堵,DQN,30.8,12,100.0,20.0,89.8,0.02,714.0,96
场景A 黄河路单向拥堵,GCN-Weight,16.4,6,100.0,0.0,98.0,0.0,436.8,96
场景B 花园路封闭绕行,Dijkstra,4.0,4,60.0,0.0,0.0,0.0,1685.0,96
场景B 花园路封闭绕行,Rule-A*,16.5,5,100.0,0.0,89.8,0.0,708.4,96
场景B 花园路封闭绕行,DQN,58.6,25,100.0,0.0,89.8,0.0,1771.4,96
场景B 花园路封闭绕行,GCN-Weight,16.3,5,100.0,0.0,98.0,0.0,708.4,96
场景C 多路段复合拥堵,Dijkstra,8.0,8,0.0,0.0,0.0,0.0,649.8,96
场景C 多路段复合拥堵,Rule-A*,17.2,8,28.6,0.0,89.8,0.0,544.6,96
场景C 多路段复合拥堵,DQN,10.0,4,28.6,0.0,89.8,0.0,268.2,96
场景C 多路段复合拥堵,GCN-Weight,14.75,8,28.6,0.0,98.0,0.0,533.6,96
场景D 中央核心节点封锁（强迫大范围绕行）,Dijkstra,8.0,8,26.7,0.0,0.0,0.0,536.5,96
场景D 中央核心节点封锁（强迫大范围绕行）,Rule-A*,17.6,8,46.7,0.0,89.8,0.0,490.4,96
场景D 中央核心节点封锁（强迫大范围绕行）,DQN,10.0,4,46.7,0.0,89.8,0.0,268.2,96
场景D 中央核心节点封锁（强迫大范围绕行）,GCN-Weight,15.95,8,46.7,0.0,98.0,0.0,682.2,96
场景E 不对称方向拥堵（测试模型方向提取能力）,Dijkstra,5.0,5,36.4,0.0,0.0,0.0,773.7,96
场景E 不对称方向拥堵（测试模型方向提取能力）,Rule-A*,21.2,8,72.7,0.0,89.8,0.0,454.6,96
场景E 不对称方向拥堵（测试模型方向提取能力）,DQN,33.7,15,72.7,0.0,89.8,0.0,889.0,96
场景E 不对称方向拥堵（测试模型方向提取能力）,GCN-Weight,17.45,6,72.7,0.0,98.0,0.0,394.1,96
场景F 大规模复合灾害（极限压力测试）,Dijkstra,8.0,8,21.4,0.0,0.0,0.0,446.5,96
场景F 大规模复合灾害（极限压力测试）,Rule-A*,12.8,8,21.4,0.0,89.8,0.0,446.5,96
场景F 大规模复合灾害（极限压力测试）,DQN,36.2,18,21.4,0.0,89.8,0.0,1178.1,96
场景F 大规模复合灾害（极限压力测试）,GCN-Weight,15.95,8,21.4,0.0,98.0,0.0,682.2,96
