model,variant,complexity_level,samples,avg_prompt_tokens,avg_used_tokens,truncation_rate,parse_failure_rate,avg_parsed_edge_ratio,avg_signal_ratio,avg_inference_time_s,avg_anchor_count,avg_parse_confidence
Qwen-LoRA,short,1,6,76.833,76.833,0.0,0.0,70.567,55.1,15.578,0,0.0
Qwen-LoRA,medium,2,6,522.833,522.833,0.0,16.7,57.133,42.517,17.018,0,0.0
Qwen-LoRA,long,3,6,2709.833,2709.833,0.0,0.0,73.3,54.083,17.742,0,0.0
Qwen-LoRA,noisy_long,4,6,6001.833,4096,100.0,100.0,0.0,0.0,2.157,0,0.0
R1-LoRA,short,1,6,52.833,52.833,0.0,0.0,33.683,33.683,25.553,0,0.0
R1-LoRA,medium,2,6,498.833,498.833,0.0,16.7,25.35,25.35,34.874,0,0.0
R1-LoRA,long,3,6,2685.833,2685.833,0.0,0.0,26.033,26.033,42.055,0,0.0
R1-LoRA,noisy_long,4,6,5977.833,4096,100.0,100.0,0.0,0.0,49.83,0,0.0
Sparse-LoRA,short,1,6,215.167,215.167,0.0,0.0,17.183,17.183,1.347,3.5,0.882
Sparse-LoRA,medium,2,6,225.167,225.167,0.0,0.0,15.983,15.983,1.122,3,0.86
Sparse-LoRA,long,3,6,222.167,222.167,0.0,0.0,19.05,18.367,1.531,4,0.9
Sparse-LoRA,noisy_long,4,6,228.167,228.167,0.0,0.0,14.283,14.283,1.0,2.333,0.837
