scene,scene_type,scene_bucket,stress_tags,method,path_cost,path_len,constraint_rate,parsed_edges,parsed_edge_ratio,signal_edges,signal_ratio,infer_time_s,sumo_time,anchor_count,parse_confidence,gat_mode,alpha_used,high_conf_edges,low_conf_edges,missing_edges
场景A 黄河路单向拥堵,simple_local,normal,,Sparse-LoRA,16.0,5,66.7,10,10.2,10,10.2,1.63,623.9,4,0.91,disabled,0.0,0,0,0
场景A 黄河路单向拥堵,simple_local,normal,,Sparse-LoRA+Always-GAT,18.82,6,66.7,10,10.2,85,86.7,1.63,436.8,4,0.91,always_topology_completion,0.45,0,10,86
场景A 黄河路单向拥堵,simple_local,normal,,Sparse-LoRA+Gated-GAT,18.64,6,66.7,10,10.2,85,86.7,1.63,436.8,4,0.91,gated_topology_completion,0.45000000000000007,10,0,86
场景B 花园路封闭绕行,core_blockage,normal,,Sparse-LoRA,15.5,4,80.0,10,10.2,10,10.2,1.268,1685.0,4,0.91,disabled,0.0,0,0,0
场景B 花园路封闭绕行,core_blockage,normal,,Sparse-LoRA+Always-GAT,18.47,5,80.0,10,10.2,85,86.7,1.268,708.4,4,0.91,always_topology_completion,0.45,0,8,86
场景B 花园路封闭绕行,core_blockage,normal,,Sparse-LoRA+Gated-GAT,18.47,5,80.0,10,10.2,85,86.7,1.268,708.4,4,0.91,gated_topology_completion,0.45000000000000007,10,0,86
场景C 多路段复合拥堵,compound_disaster,normal,,Sparse-LoRA,16.0,8,0.0,17,17.3,17,17.3,1.46,544.6,3,0.83,disabled,0.0,0,0,0
场景C 多路段复合拥堵,compound_disaster,normal,,Sparse-LoRA+Always-GAT,16.61,8,0.0,17,17.3,95,96.9,1.46,544.6,3,0.83,always_topology_completion,0.55,0,17,79
场景C 多路段复合拥堵,compound_disaster,normal,,Sparse-LoRA+Gated-GAT,16.61,8,0.0,17,17.3,95,96.9,1.46,544.6,3,0.83,gated_topology_completion,0.55,17,0,79
场景D 中央核心节点封锁（强迫大范围绕行）,core_blockage,normal,,Sparse-LoRA,26.3,8,46.7,28,28.6,28,28.6,0.994,497.5,3,0.8,disabled,0.0,0,0,0
场景D 中央核心节点封锁（强迫大范围绕行）,core_blockage,normal,,Sparse-LoRA+Always-GAT,29.0,8,33.3,28,28.6,89,90.8,0.994,497.5,3,0.8,always_topology_completion,0.45,0,8,68
场景D 中央核心节点封锁（强迫大范围绕行）,core_blockage,normal,,Sparse-LoRA+Gated-GAT,30.09,8,46.7,28,28.6,89,90.8,0.994,497.5,3,0.8,gated_topology_completion,0.45000000000000007,28,0,68
场景E 不对称方向拥堵（测试模型方向提取能力）,directional_asymmetry,normal,,Sparse-LoRA,15.0,6,36.4,18,18.4,18,18.4,0.991,394.1,2,0.8,disabled,0.0,0,0,0
场景E 不对称方向拥堵（测试模型方向提取能力）,directional_asymmetry,normal,,Sparse-LoRA+Always-GAT,19.39,6,36.4,18,18.4,96,98.0,0.991,394.1,2,0.8,always_topology_completion,0.55,0,16,80
场景E 不对称方向拥堵（测试模型方向提取能力）,directional_asymmetry,normal,,Sparse-LoRA+Gated-GAT,19.65,6,36.4,18,18.4,96,98.0,0.991,394.1,2,0.8,gated_topology_completion,0.55,16,0,80
场景F 大规模复合灾害（极限压力测试）,compound_disaster,normal,,Sparse-LoRA,23.5,8,21.4,10,10.2,10,10.2,1.103,446.5,2,0.83,disabled,0.0,0,0,0
场景F 大规模复合灾害（极限压力测试）,compound_disaster,normal,,Sparse-LoRA+Always-GAT,25.18,8,21.4,10,10.2,93,94.9,1.103,446.5,2,0.83,always_topology_completion,0.55,0,0,86
场景F 大规模复合灾害（极限压力测试）,compound_disaster,normal,,Sparse-LoRA+Gated-GAT,25.18,8,21.4,10,10.2,93,94.9,1.103,446.5,2,0.83,gated_topology_completion,0.55,10,0,86
特殊场景S1 核心封锁+外溢排队,core_blockage,special,"core_blockage,spillover",Sparse-LoRA,16.0,8,0.0,10,10.2,10,10.2,0.784,574.0,2,0.9,disabled,0.0,0,0,0
特殊场景S1 核心封锁+外溢排队,core_blockage,special,"core_blockage,spillover",Sparse-LoRA+Always-GAT,18.73,8,0.0,10,10.2,91,92.9,0.784,544.6,2,0.9,always_topology_completion,0.55,0,0,86
特殊场景S1 核心封锁+外溢排队,core_blockage,special,"core_blockage,spillover",Sparse-LoRA+Gated-GAT,18.73,8,0.0,10,10.2,91,92.9,0.784,544.6,2,0.9,gated_topology_completion,0.55,10,0,86
特殊场景S2 活动管制+方向不对称,directional_asymmetry,special,"event_control,directional_asymmetry",Sparse-LoRA,19.5,6,72.7,5,5.1,5,5.1,1.131,754.1,1,0.83,disabled,0.0,0,0,0
特殊场景S2 活动管制+方向不对称,directional_asymmetry,special,"event_control,directional_asymmetry",Sparse-LoRA+Always-GAT,23.81,8,36.4,5,5.1,96,98.0,1.131,814.6,1,0.83,always_topology_completion,0.55,0,0,91
特殊场景S2 活动管制+方向不对称,directional_asymmetry,special,"event_control,directional_asymmetry",Sparse-LoRA+Gated-GAT,23.81,8,36.4,5,5.1,96,98.0,1.131,814.6,1,0.83,gated_topology_completion,0.55,5,0,91
特殊场景S3 局部锚点+拓扑传播,compound_disaster,special,"local_sparse_anchors,topology_propagation",Sparse-LoRA,16.0,8,66.7,18,18.4,18,18.4,1.435,544.6,4,0.9,disabled,0.0,0,0,0
特殊场景S3 局部锚点+拓扑传播,compound_disaster,special,"local_sparse_anchors,topology_propagation",Sparse-LoRA+Always-GAT,20.48,8,66.7,18,18.4,88,89.8,1.435,544.6,4,0.9,always_topology_completion,0.55,0,18,78
