scenario,preset_id,scene_profile,method,start_edge,end_edge,travel_time_s,time_loss_s,waiting_time_s,stop_count,vehicle_arrived,simulation_truncated,completion_status,planning_time_s,model_infer_time_s,route_solve_time_s,constraint_rate,signal_ratio,signal_edges,parsed_edges,parsed_edge_ratio,default_edges,path_len,path_cost,simulation_seed,warmup_seconds,evaluation_start_time,evaluation_end_time,scene_profile_version,use_gat,model_path,protocol_snapshot_json,notes
场景N normal_baseline 正常通行,N,normal_baseline,Dijkstra,R3C0_E,R3C4_E,236.0,40.33,23.5,2,True,False,arrived,9.3e-05,0.0,9.3e-05,100.0,0.0,0,0,0.0,96,5,5.0,101,120,120,1800,sha256:012f7472d50a,False,,"{""evaluation_end_time"": 1800, ""evaluation_start_time"": 120, ""legacy_field_mapping"": {""infer_time"": ""model_infer_time_s"", ""plan_ms"": ""planning_time_ms"", ""planning_ms"": ""planning_time_ms"", ""sumo_time"": ""travel_time_s"", ""time_s"": ""planning_time_s"", ""travel_time"": ""travel_time_s"", ""true_travel_time"": ""analytical_travel_time_s_legacy""}, ""legacy_field_notes"": {""infer_time"": ""Model inference-only time; this is a subcomponent of planning time, not travel time."", ""plan_ms"": ""Legacy planning latency field in milliseconds."", ""planning_ms"": ""Legacy planning latency field in milliseconds."", ""sumo_time"": ""SUMO-measured vehicle travel time in seconds."", ""time_s"": ""Legacy seconds field that was often used for inference or planning time, depending on the script."", ""travel_time"": ""SUMO-measured vehicle travel time in seconds in the current app pipeline."", ""true_travel_time"": ""Legacy analytical proxy from evaluate.py rather than a live SUMO trip duration.""}, ""num_eval_seeds"": 1, ""planning_time_definition"": ""Planning Time (s) = model inference time + route solving time only. It excludes SUMO startup, warm-up, simulation stepping, and live vehicle travel."", ""reroute_period"": 60, ""reroute_trigger_mode"": ""periodic"", ""simulation_seed_policy"": ""scene_profile_fixed_seed_single_run"", ""travel_time_definition"": ""Travel Time (s) = SUMO trip duration for the evaluated vehicle only, measured from vehicle depart to vehicle arrival inside the simulator."", ""vehicle_depart_window"": [120, 120], ""warmup_seconds"": 120}",旧 baseline 权重逻辑保持不变，仅切换为 scene-profile-fixed live SUMO 协议。
场景A 黄河路单向拥堵,A,simple_local,Dijkstra,R3C0_E,R3C4_E,355.9,101.47,81.4,3,True,False,arrived,0.000213,0.0,0.000213,0.0,0.0,0,0,0.0,96,5,5.0,111,180,180,2100,sha256:012f7472d50a,False,,"{""evaluation_end_time"": 2100, ""evaluation_start_time"": 180, ""legacy_field_mapping"": {""infer_time"": ""model_infer_time_s"", ""plan_ms"": ""planning_time_ms"", ""planning_ms"": ""planning_time_ms"", ""sumo_time"": ""travel_time_s"", ""time_s"": ""planning_time_s"", ""travel_time"": ""travel_time_s"", ""true_travel_time"": ""analytical_travel_time_s_legacy""}, ""legacy_field_notes"": {""infer_time"": ""Model inference-only time; this is a subcomponent of planning time, not travel time."", ""plan_ms"": ""Legacy planning latency field in milliseconds."", ""planning_ms"": ""Legacy planning latency field in milliseconds."", ""sumo_time"": ""SUMO-measured vehicle travel time in seconds."", ""time_s"": ""Legacy seconds field that was often used for inference or planning time, depending on the script."", ""travel_time"": ""SUMO-measured vehicle travel time in seconds in the current app pipeline."", ""true_travel_time"": ""Legacy analytical proxy from evaluate.py rather than a live SUMO trip duration.""}, ""num_eval_seeds"": 1, ""planning_time_definition"": ""Planning Time (s) = model inference time + route solving time only. It excludes SUMO startup, warm-up, simulation stepping, and live vehicle travel."", ""reroute_period"": 60, ""reroute_trigger_mode"": ""periodic"", ""simulation_seed_policy"": ""scene_profile_fixed_seed_single_run"", ""travel_time_definition"": ""Travel Time (s) = SUMO trip duration for the evaluated vehicle only, measured from vehicle depart to vehicle arrival inside the simulator."", ""vehicle_depart_window"": [180, 180], ""warmup_seconds"": 180}",旧 baseline 权重逻辑保持不变，仅切换为 scene-profile-fixed live SUMO 协议。
场景E 方向不对称拥堵,E,directional_asymmetry,Dijkstra,R4C0_E,R4C4_E,898.5,312.64,300.1,1,True,False,arrived,0.000182,0.0,0.000182,14.29,0.0,0,0,0.0,96,5,5.0,202,180,180,2100,sha256:012f7472d50a,False,,"{""evaluation_end_time"": 2100, ""evaluation_start_time"": 180, ""legacy_field_mapping"": {""infer_time"": ""model_infer_time_s"", ""plan_ms"": ""planning_time_ms"", ""planning_ms"": ""planning_time_ms"", ""sumo_time"": ""travel_time_s"", ""time_s"": ""planning_time_s"", ""travel_time"": ""travel_time_s"", ""true_travel_time"": ""analytical_travel_time_s_legacy""}, ""legacy_field_notes"": {""infer_time"": ""Model inference-only time; this is a subcomponent of planning time, not travel time."", ""plan_ms"": ""Legacy planning latency field in milliseconds."", ""planning_ms"": ""Legacy planning latency field in milliseconds."", ""sumo_time"": ""SUMO-measured vehicle travel time in seconds."", ""time_s"": ""Legacy seconds field that was often used for inference or planning time, depending on the script."", ""travel_time"": ""SUMO-measured vehicle travel time in seconds in the current app pipeline."", ""true_travel_time"": ""Legacy analytical proxy from evaluate.py rather than a live SUMO trip duration.""}, ""num_eval_seeds"": 1, ""planning_time_definition"": ""Planning Time (s) = model inference time + route solving time only. It excludes SUMO startup, warm-up, simulation stepping, and live vehicle travel."", ""reroute_period"": 60, ""reroute_trigger_mode"": ""periodic"", ""simulation_seed_policy"": ""scene_profile_fixed_seed_single_run"", ""travel_time_definition"": ""Travel Time (s) = SUMO trip duration for the evaluated vehicle only, measured from vehicle depart to vehicle arrival inside the simulator."", ""vehicle_depart_window"": [180, 180], ""warmup_seconds"": 180}",旧 baseline 权重逻辑保持不变，仅切换为 scene-profile-fixed live SUMO 协议。
场景D 中央核心节点封锁,D,core_blockage,Dijkstra,R0C0_E,R4C3_E,2160.1,1815.6,1800.6,6,False,True,truncated_at_evaluation_end,0.000219,0.0,0.000219,12.5,0.0,0,0,0.0,96,8,8.0,303,240,240,2400,sha256:012f7472d50a,False,,"{""evaluation_end_time"": 2400, ""evaluation_start_time"": 240, ""legacy_field_mapping"": {""infer_time"": ""model_infer_time_s"", ""plan_ms"": ""planning_time_ms"", ""planning_ms"": ""planning_time_ms"", ""sumo_time"": ""travel_time_s"", ""time_s"": ""planning_time_s"", ""travel_time"": ""travel_time_s"", ""true_travel_time"": ""analytical_travel_time_s_legacy""}, ""legacy_field_notes"": {""infer_time"": ""Model inference-only time; this is a subcomponent of planning time, not travel time."", ""plan_ms"": ""Legacy planning latency field in milliseconds."", ""planning_ms"": ""Legacy planning latency field in milliseconds."", ""sumo_time"": ""SUMO-measured vehicle travel time in seconds."", ""time_s"": ""Legacy seconds field that was often used for inference or planning time, depending on the script."", ""travel_time"": ""SUMO-measured vehicle travel time in seconds in the current app pipeline."", ""true_travel_time"": ""Legacy analytical proxy from evaluate.py rather than a live SUMO trip duration.""}, ""num_eval_seeds"": 1, ""planning_time_definition"": ""Planning Time (s) = model inference time + route solving time only. It excludes SUMO startup, warm-up, simulation stepping, and live vehicle travel."", ""reroute_period"": 60, ""reroute_trigger_mode"": ""periodic"", ""simulation_seed_policy"": ""scene_profile_fixed_seed_single_run"", ""travel_time_definition"": ""Travel Time (s) = SUMO trip duration for the evaluated vehicle only, measured from vehicle depart to vehicle arrival inside the simulator."", ""vehicle_depart_window"": [240, 240], ""warmup_seconds"": 240}",旧 baseline 权重逻辑保持不变，仅切换为 scene-profile-fixed live SUMO 协议。
场景G 传播范围外溢,G,propagation_range,Dijkstra,R0C0_E,C4R3_N,2117.7,1817.18,1800.6,6,True,False,arrived,0.000242,0.0,0.000242,16.67,0.0,0,0,0.0,96,8,8.0,404,240,240,2400,sha256:012f7472d50a,False,,"{""evaluation_end_time"": 2400, ""evaluation_start_time"": 240, ""legacy_field_mapping"": {""infer_time"": ""model_infer_time_s"", ""plan_ms"": ""planning_time_ms"", ""planning_ms"": ""planning_time_ms"", ""sumo_time"": ""travel_time_s"", ""time_s"": ""planning_time_s"", ""travel_time"": ""travel_time_s"", ""true_travel_time"": ""analytical_travel_time_s_legacy""}, ""legacy_field_notes"": {""infer_time"": ""Model inference-only time; this is a subcomponent of planning time, not travel time."", ""plan_ms"": ""Legacy planning latency field in milliseconds."", ""planning_ms"": ""Legacy planning latency field in milliseconds."", ""sumo_time"": ""SUMO-measured vehicle travel time in seconds."", ""time_s"": ""Legacy seconds field that was often used for inference or planning time, depending on the script."", ""travel_time"": ""SUMO-measured vehicle travel time in seconds in the current app pipeline."", ""true_travel_time"": ""Legacy analytical proxy from evaluate.py rather than a live SUMO trip duration.""}, ""num_eval_seeds"": 1, ""planning_time_definition"": ""Planning Time (s) = model inference time + route solving time only. It excludes SUMO startup, warm-up, simulation stepping, and live vehicle travel."", ""reroute_period"": 45, ""reroute_trigger_mode"": ""periodic"", ""simulation_seed_policy"": ""scene_profile_fixed_seed_single_run"", ""travel_time_definition"": ""Travel Time (s) = SUMO trip duration for the evaluated vehicle only, measured from vehicle depart to vehicle arrival inside the simulator."", ""vehicle_depart_window"": [240, 240], ""warmup_seconds"": 240}",旧 baseline 权重逻辑保持不变，仅切换为 scene-profile-fixed live SUMO 协议。
场景C 多路段复合拥堵,C,compound_disaster,Dijkstra,R0C0_E,R3C4_E,1888.5,1502.3,1481.9,5,True,False,arrived,0.000246,0.0,0.000246,0.0,0.0,0,0,0.0,96,8,8.0,505,300,300,2700,sha256:012f7472d50a,False,,"{""evaluation_end_time"": 2700, ""evaluation_start_time"": 300, ""legacy_field_mapping"": {""infer_time"": ""model_infer_time_s"", ""plan_ms"": ""planning_time_ms"", ""planning_ms"": ""planning_time_ms"", ""sumo_time"": ""travel_time_s"", ""time_s"": ""planning_time_s"", ""travel_time"": ""travel_time_s"", ""true_travel_time"": ""analytical_travel_time_s_legacy""}, ""legacy_field_notes"": {""infer_time"": ""Model inference-only time; this is a subcomponent of planning time, not travel time."", ""plan_ms"": ""Legacy planning latency field in milliseconds."", ""planning_ms"": ""Legacy planning latency field in milliseconds."", ""sumo_time"": ""SUMO-measured vehicle travel time in seconds."", ""time_s"": ""Legacy seconds field that was often used for inference or planning time, depending on the script."", ""travel_time"": ""SUMO-measured vehicle travel time in seconds in the current app pipeline."", ""true_travel_time"": ""Legacy analytical proxy from evaluate.py rather than a live SUMO trip duration.""}, ""num_eval_seeds"": 1, ""planning_time_definition"": ""Planning Time (s) = model inference time + route solving time only. It excludes SUMO startup, warm-up, simulation stepping, and live vehicle travel."", ""reroute_period"": 30, ""reroute_trigger_mode"": ""periodic"", ""simulation_seed_policy"": ""scene_profile_fixed_seed_single_run"", ""travel_time_definition"": ""Travel Time (s) = SUMO trip duration for the evaluated vehicle only, measured from vehicle depart to vehicle arrival inside the simulator."", ""vehicle_depart_window"": [300, 300], ""warmup_seconds"": 300}",旧 baseline 权重逻辑保持不变，仅切换为 scene-profile-fixed live SUMO 协议。
场景N normal_baseline 正常通行,N,normal_baseline,Rule-A*,R3C0_E,R3C4_E,406.8,131.63,102.7,5,True,False,arrived,0.001216,0.0,0.001216,100.0,91.7,88,96,100.0,8,6,12.5,101,120,120,1800,sha256:012f7472d50a,False,,"{""evaluation_end_time"": 1800, ""evaluation_start_time"": 120, ""legacy_field_mapping"": {""infer_time"": ""model_infer_time_s"", ""plan_ms"": ""planning_time_ms"", ""planning_ms"": ""planning_time_ms"", ""sumo_time"": ""travel_time_s"", ""time_s"": ""planning_time_s"", ""travel_time"": ""travel_time_s"", ""true_travel_time"": ""analytical_travel_time_s_legacy""}, ""legacy_field_notes"": {""infer_time"": ""Model inference-only time; this is a subcomponent of planning time, not travel time."", ""plan_ms"": ""Legacy planning latency field in milliseconds."", ""planning_ms"": ""Legacy planning latency field in milliseconds."", ""sumo_time"": ""SUMO-measured vehicle travel time in seconds."", ""time_s"": ""Legacy seconds field that was often used for inference or planning time, depending on the script."", ""travel_time"": ""SUMO-measured vehicle travel time in seconds in the current app pipeline."", ""true_travel_time"": ""Legacy analytical proxy from evaluate.py rather than a live SUMO trip duration.""}, ""num_eval_seeds"": 1, ""planning_time_definition"": ""Planning Time (s) = model inference time + route solving time only. It excludes SUMO startup, warm-up, simulation stepping, and live vehicle travel."", ""reroute_period"": 60, ""reroute_trigger_mode"": ""periodic"", ""simulation_seed_policy"": ""scene_profile_fixed_seed_single_run"", ""travel_time_definition"": ""Travel Time (s) = SUMO trip duration for the evaluated vehicle only, measured from vehicle depart to vehicle arrival inside the simulator."", ""vehicle_depart_window"": [120, 120], ""warmup_seconds"": 120}",旧规则权重生成保持不变，仅切换为 scene-profile-fixed live SUMO 协议。
场景A 黄河路单向拥堵,A,simple_local,Rule-A*,R3C0_E,R3C4_E,706.8,416.15,395.0,4,True,False,arrived,0.000668,0.0,0.000668,100.0,91.7,88,96,100.0,8,6,16.0,111,180,180,2100,sha256:012f7472d50a,False,,"{""evaluation_end_time"": 2100, ""evaluation_start_time"": 180, ""legacy_field_mapping"": {""infer_time"": ""model_infer_time_s"", ""plan_ms"": ""planning_time_ms"", ""planning_ms"": ""planning_time_ms"", ""sumo_time"": ""travel_time_s"", ""time_s"": ""planning_time_s"", ""travel_time"": ""travel_time_s"", ""true_travel_time"": ""analytical_travel_time_s_legacy""}, ""legacy_field_notes"": {""infer_time"": ""Model inference-only time; this is a subcomponent of planning time, not travel time."", ""plan_ms"": ""Legacy planning latency field in milliseconds."", ""planning_ms"": ""Legacy planning latency field in milliseconds."", ""sumo_time"": ""SUMO-measured vehicle travel time in seconds."", ""time_s"": ""Legacy seconds field that was often used for inference or planning time, depending on the script."", ""travel_time"": ""SUMO-measured vehicle travel time in seconds in the current app pipeline."", ""true_travel_time"": ""Legacy analytical proxy from evaluate.py rather than a live SUMO trip duration.""}, ""num_eval_seeds"": 1, ""planning_time_definition"": ""Planning Time (s) = model inference time + route solving time only. It excludes SUMO startup, warm-up, simulation stepping, and live vehicle travel."", ""reroute_period"": 60, ""reroute_trigger_mode"": ""periodic"", ""simulation_seed_policy"": ""scene_profile_fixed_seed_single_run"", ""travel_time_definition"": ""Travel Time (s) = SUMO trip duration for the evaluated vehicle only, measured from vehicle depart to vehicle arrival inside the simulator."", ""vehicle_depart_window"": [180, 180], ""warmup_seconds"": 180}",旧规则权重生成保持不变，仅切换为 scene-profile-fixed live SUMO 协议。
场景E 方向不对称拥堵,E,directional_asymmetry,Rule-A*,R4C0_E,R4C4_E,1778.7,1216.22,1200.4,4,True,False,arrived,0.00065,0.0,0.00065,85.71,91.7,88,96,100.0,8,8,21.2,202,180,180,2100,sha256:012f7472d50a,False,,"{""evaluation_end_time"": 2100, ""evaluation_start_time"": 180, ""legacy_field_mapping"": {""infer_time"": ""model_infer_time_s"", ""plan_ms"": ""planning_time_ms"", ""planning_ms"": ""planning_time_ms"", ""sumo_time"": ""travel_time_s"", ""time_s"": ""planning_time_s"", ""travel_time"": ""travel_time_s"", ""true_travel_time"": ""analytical_travel_time_s_legacy""}, ""legacy_field_notes"": {""infer_time"": ""Model inference-only time; this is a subcomponent of planning time, not travel time."", ""plan_ms"": ""Legacy planning latency field in milliseconds."", ""planning_ms"": ""Legacy planning latency field in milliseconds."", ""sumo_time"": ""SUMO-measured vehicle travel time in seconds."", ""time_s"": ""Legacy seconds field that was often used for inference or planning time, depending on the script."", ""travel_time"": ""SUMO-measured vehicle travel time in seconds in the current app pipeline."", ""true_travel_time"": ""Legacy analytical proxy from evaluate.py rather than a live SUMO trip duration.""}, ""num_eval_seeds"": 1, ""planning_time_definition"": ""Planning Time (s) = model inference time + route solving time only. It excludes SUMO startup, warm-up, simulation stepping, and live vehicle travel."", ""reroute_period"": 60, ""reroute_trigger_mode"": ""periodic"", ""simulation_seed_policy"": ""scene_profile_fixed_seed_single_run"", ""travel_time_definition"": ""Travel Time (s) = SUMO trip duration for the evaluated vehicle only, measured from vehicle depart to vehicle arrival inside the simulator."", ""vehicle_depart_window"": [180, 180], ""warmup_seconds"": 180}",旧规则权重生成保持不变，仅切换为 scene-profile-fixed live SUMO 协议。
场景D 中央核心节点封锁,D,core_blockage,Rule-A*,R0C0_E,R4C3_E,1277.5,912.42,900.3,3,True,False,arrived,0.000325,0.0,0.000325,37.5,91.7,88,96,100.0,8,8,17.6,303,240,240,2400,sha256:012f7472d50a,False,,"{""evaluation_end_time"": 2400, ""evaluation_start_time"": 240, ""legacy_field_mapping"": {""infer_time"": ""model_infer_time_s"", ""plan_ms"": ""planning_time_ms"", ""planning_ms"": ""planning_time_ms"", ""sumo_time"": ""travel_time_s"", ""time_s"": ""planning_time_s"", ""travel_time"": ""travel_time_s"", ""true_travel_time"": ""analytical_travel_time_s_legacy""}, ""legacy_field_notes"": {""infer_time"": ""Model inference-only time; this is a subcomponent of planning time, not travel time."", ""plan_ms"": ""Legacy planning latency field in milliseconds."", ""planning_ms"": ""Legacy planning latency field in milliseconds."", ""sumo_time"": ""SUMO-measured vehicle travel time in seconds."", ""time_s"": ""Legacy seconds field that was often used for inference or planning time, depending on the script."", ""travel_time"": ""SUMO-measured vehicle travel time in seconds in the current app pipeline."", ""true_travel_time"": ""Legacy analytical proxy from evaluate.py rather than a live SUMO trip duration.""}, ""num_eval_seeds"": 1, ""planning_time_definition"": ""Planning Time (s) = model inference time + route solving time only. It excludes SUMO startup, warm-up, simulation stepping, and live vehicle travel."", ""reroute_period"": 60, ""reroute_trigger_mode"": ""periodic"", ""simulation_seed_policy"": ""scene_profile_fixed_seed_single_run"", ""travel_time_definition"": ""Travel Time (s) = SUMO trip duration for the evaluated vehicle only, measured from vehicle depart to vehicle arrival inside the simulator."", ""vehicle_depart_window"": [240, 240], ""warmup_seconds"": 240}",旧规则权重生成保持不变，仅切换为 scene-profile-fixed live SUMO 协议。
