dimension,bucket,bucket_rank,bucket_total_simple_local,bucket_failed_simple_local,failure_rate_within_bucket,share_of_failed_simple_local,pred_matches_gt_label_count,no_anchor_count,parse_fail_count,target_miss_count,changed_edge_miss_count,mixed_count
overall,all_simple_local,1,139,51,0.3669,1.0,51,29,0,0,22,0
failure_type,no_anchor,1,29,29,1.0,0.5686,29,29,0,0,0,0
failure_type,parse_fail,2,0,0,0.0,0.0,0,0,0,0,0,0
failure_type,target_miss,3,0,0,0.0,0.0,0,0,0,0,0,0
failure_type,changed_edge_miss,4,22,22,1.0,0.4314,22,0,0,0,22,0
failure_type,mixed,5,0,0,0.0,0.0,0,0,0,0,0,0
changed_edge_count_bucket,1,1,87,20,0.2299,0.3922,20,20,0,0,0,0
changed_edge_count_bucket,2,2,39,23,0.5897,0.451,23,7,0,0,16,0
changed_edge_count_bucket,3+,3,13,8,0.6154,0.1569,8,2,0,0,6,0
input_length_bucket,short,1,66,27,0.4091,0.5294,27,16,0,0,11,0
input_length_bucket,medium,2,63,22,0.3492,0.4314,22,11,0,0,11,0
input_length_bucket,long,3,10,2,0.2,0.0392,2,2,0,0,0,0
anomaly_strength_bucket,mild,1,63,29,0.4603,0.5686,29,29,0,0,0,0
anomaly_strength_bucket,moderate,2,32,7,0.2188,0.1373,7,0,0,0,7,0
anomaly_strength_bucket,severe,3,44,15,0.3409,0.2941,15,0,0,0,15,0
pattern_bucket,single_anomaly_only,1,30,9,0.3,0.1765,9,9,0,0,0,0
pattern_bucket,anomaly_plus_normal,2,22,22,1.0,0.4314,22,0,0,0,22,0
pattern_bucket,same_road_multi_dir,3,0,0,0.0,0.0,0,0,0,0,0,0
pattern_bucket,short_range_local,4,53,20,0.3774,0.3922,20,20,0,0,0,0
pattern_bucket,other,5,34,0,0.0,0.0,0,0,0,0,0,0
