model_version,scope,scope_name,count,no_anchor_when_gt_changed_rate,target_recall,gt_changed_edge_recall,MAE_on_changed_edges,parse_fail_rate_strict,note
pre,overall,overall,540,0.0884,98.9,88.9,0.1332,0.0778,overall
pre,overall:scene_type,simple_local,139,0.3619,89.0,56.7,0.6322,0.2734,simple_local
pre,overall:scene_type,directional_asymmetry,71,0.0563,96.4,71.3,0.3708,0.0563,directional_asymmetry
pre,split,val_anti_truncation,180,0.0,100.0,98.5,0.0124,0.0,val_anti_truncation
stage4_fix,overall,overall,540,0.0611,99.6,89.3,0.0932,0.0537,overall
stage4_fix,overall:scene_type,simple_local,139,0.2762,100.0,63.7,0.2901,0.2086,simple_local
stage4_fix,overall:scene_type,directional_asymmetry,71,0.0,100.0,71.8,0.2256,0.0,directional_asymmetry
stage4_fix,split,val_anti_truncation,180,0.0,99.6,98.0,0.0251,0.0,val_anti_truncation
stage4b_fix,overall,overall,540,0.0611,100.0,89.7,0.0827,0.0537,overall
stage4b_fix,overall:scene_type,simple_local,139,0.2762,100.0,63.7,0.2901,0.2086,simple_local
stage4b_fix,overall:scene_type,directional_asymmetry,71,0.0,100.0,71.8,0.2256,0.0,directional_asymmetry
stage4b_fix,split,val_anti_truncation,180,0.0,100.0,98.5,0.0124,0.0,val_anti_truncation
stage4b_fix,relief_pack_eval,overall,24,0.9583,0.0,6.2,0.75,0.9583,
stage4b_fix,relabel_eval,overall,28,0.0,100.0,56.9,0.3446,0.0,
stage4b_fix,guard_eval,overall,20,0.0,100.0,80.6,0.1548,0.0,
stage4b_fix,relief_pack_eval:bucket,multi_edge_relief,8,0.875,0.0,12.5,0.7,0.875,
stage4b_fix,relief_pack_eval:bucket,relief_normal_short_range,8,1.0,0.0,0.0,0.8,1.0,
stage4b_fix,relief_pack_eval:bucket,relief_normal_single_edge,8,1.0,0.0,0.0,0.8,1.0,
