bucket_family,bucket_name,count,pre_no_anchor_when_gt_changed_rate,post_no_anchor_when_gt_changed_rate,delta_no_anchor_when_gt_changed_rate,pre_gt_changed_edge_recall,post_gt_changed_edge_recall,delta_gt_changed_edge_recall,pre_parse_fail_rate_strict,post_parse_fail_rate_strict,delta_parse_fail_rate_strict,improved_metrics,regressed_metrics,net_status,changed_count,unchanged_count,no_anchor_to_anchor_count,anchor_but_still_wrong_count,notes
heldout_summary,overall/overall,540,0.0611,0.0589,-0.0022000000000000006,89.3,90.5,1.2000000000000028,0.0537,0.0519,-0.001799999999999996,3,0,net_improved,,,,,
heldout_summary,overall:length_bucket/long,132,0.0083,0.0083,0.0,95.9,95.9,0.0,0.0076,0.0076,0.0,0,0,unchanged,,,,,
heldout_summary,overall:length_bucket/medium,169,0.0738,0.0738,0.0,81.2,84.6,3.3999999999999915,0.0651,0.0651,0.0,1,0,net_improved,,,,,
heldout_summary,overall:length_bucket/noisy_long,144,0.0079,0.0079,0.0,95.1,95.6,0.5,0.0069,0.0069,0.0,1,0,net_improved,,,,,
heldout_summary,overall:length_bucket/short,95,0.2025,0.1899,-0.0126,72.5,73.1,0.5999999999999943,0.1684,0.1579,-0.010499999999999982,3,0,net_improved,,,,,
heldout_summary,overall:scene_type/compound_disaster,87,0.0,0.0,0.0,95.0,96.1,1.0999999999999943,0.0,0.0,0.0,1,0,net_improved,,,,,
heldout_summary,overall:scene_type/core_blockage,44,0.0,0.0,0.0,78.8,82.1,3.299999999999997,0.0,0.0,0.0,1,0,net_improved,,,,,
heldout_summary,overall:scene_type/directional_asymmetry,71,0.0,0.0,0.0,71.8,75.4,3.6000000000000085,0.0,0.0,0.0,1,0,net_improved,,,,,
heldout_summary,overall:scene_type/propagation_range,112,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0,0,unchanged,,,,,
heldout_summary,overall:scene_type/simple_local,139,0.2762,0.2667,-0.009500000000000008,63.7,64.3,0.5999999999999943,0.2086,0.2014,-0.007200000000000012,3,0,net_improved,,,,,
heldout_summary,overall:scene_type/temporal_switch,87,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0,0,unchanged,,,,,
heldout_summary,split/val_anti_truncation,180,0.0,0.0,0.0,98.0,98.5,0.5,0.0,0.0,0.0,1,0,net_improved,,,,,
